[00:00.000 --> 00:04.000]  Komfortowa temperatura dla Ciebie.
[08:14.000 --> 08:25.000]  Tak, tak, tak, tak. Oprzez wyjście w herbata. Tak, jest tutaj. Herbata. Lubimy herbatę? Tak, bardzo lubimy.
[08:25.000 --> 08:38.000]  Czarna, klasyczna? Klasyczna. Klasyczna. Zielona. Zielona, o, zielona to jest dobra, zdrowa. Tak, healthy. Super, w porządku.
[08:38.000 --> 08:43.000]  No dobrze, to jest herbata, a to, co to jest?
[08:43.000 --> 08:58.000]  Cytryna. Cytryna. To jest cytryna, bardzo dobrze. Cytryna. Woda z cytryną też ok? Czy nic specjalnego? Tak, nie.
[08:58.000 --> 09:11.000]  Nie specjalnie. Dobrze. A herbata z cytryną? Tak. Dobrze. To bardzo dobrze, tak? Dobra kompozycja. Smaczne. Smaczne.
[09:11.000 --> 09:22.000]  No dobra, a co to jest to? Kawa? To kawa? No, no, no, Nesquik. Tak, jest Nesquik.
[09:22.000 --> 09:32.000]  I forgot what it is. Mleko? Tak, to jest mleko plus... Mleko czekoladowe. Czekoladowe, tak. A tak czekolada.
[09:32.000 --> 09:40.000]  Chocolate also including this ingredient. Ingredients with chocolate. Choco. Tak, a po polsku?
[09:41.000 --> 09:55.000]  Aaaa... Jak to jest? Kakao. Kakao. Kakao. Kto lubi kakao? O, leksko. Kakao? Lubicie? Ja.
[09:55.000 --> 10:10.000]  O, ja też. Tak, naturalnie. Dobrze. Ok, no dobra, a tu jest taki zielony element. Zielony, minła. Ogórek. Ogórek. Ogórek. Tu jest ogórek. I gdzie jest ogórek?
[10:10.000 --> 10:24.180]  Ogórek. Och, uu... Tak...isterw. Tak, jest ogórek. Super. A czerwony kolor, czerwony. Pomidor. Pomidor. Pomidor.
[10:24.180 --> 10:35.000]  Co jest dobre, pomidor, ogórek? Co preferujecie? Ogórek. Ogórek,żenie. Daniel tak i tak? Tak i tak. Ok?
[10:35.000 --> 10:40.000]  Pomidor.
[10:40.000 --> 10:42.000]  A to co to?
[10:42.000 --> 10:44.000]  Kawa.
[10:44.000 --> 10:46.000]  Jest kawa. Kawa to energia.
[10:46.000 --> 10:48.000]  Kawa.
[10:48.000 --> 10:50.000]  Gdzie jest kawa?
[10:52.000 --> 10:54.000]  O tutaj.
[10:54.000 --> 10:56.000]  Kawa.
[10:56.000 --> 10:58.000]  A co to jest?
[10:58.000 --> 11:00.000]  Cukier.
[11:00.000 --> 11:02.000]  Cukier.
[11:02.000 --> 11:04.000]  Bardzo dobrze. Jest cukier.
[11:04.000 --> 11:06.000]  Jaki cukier preferujecie?
[11:06.000 --> 11:10.000]  Klasyczny, biały, brązowy, cynamonowy, brązowy.
[11:10.000 --> 11:12.000]  Dobrze.
[11:12.000 --> 11:14.000]  I mamy taki element.
[11:14.000 --> 11:16.000]  Co to?
[11:16.000 --> 11:18.000]  Sok pomarańczowy.
[11:18.000 --> 11:20.000]  Sok pomarańczowy.
[11:20.000 --> 11:22.000]  Bardzo dobrze.
[11:22.000 --> 11:24.000]  A tu jest informacja.
[11:24.000 --> 11:26.000]  Co to?
[11:26.000 --> 11:28.000]  Sok pomarańczowy.
[11:28.000 --> 11:30.000]  Sok pomarańczowy.
[11:30.000 --> 11:32.000]  Bardzo dobrze.
[11:32.000 --> 11:34.000]  A tu jest informacja.
[11:34.000 --> 11:36.000]  Co to?
[11:36.000 --> 11:38.000]  Miód.
[11:38.000 --> 11:40.000]  Miód.
[11:40.000 --> 11:42.000]  Miód.
[11:42.000 --> 11:44.000]  Gdzie jest miód?
[11:44.000 --> 11:46.000]  O tutaj jest miód.
[11:46.000 --> 11:48.000]  Honey.
[11:48.000 --> 11:50.000]  Tak.
[11:50.000 --> 11:52.000]  Ok. A to?
[11:52.000 --> 11:54.000]  Lekko.
[11:54.000 --> 11:56.000]  Lekko. Klasycznie.
[11:56.000 --> 11:58.000]  Klasycznie.
[11:58.000 --> 12:00.000]  O jest.
[12:00.000 --> 12:02.000]  Lekko. A to?
[12:02.000 --> 12:04.000]  Przepraszam, mam pytanie.
[12:04.000 --> 12:06.000]  Jak się mówi po polsku
[12:06.000 --> 12:08.000]  it's at the bottom or it's at the top?
[12:08.000 --> 12:10.000]  Na górze.
[12:10.000 --> 12:12.000]  Na górze.
[12:12.000 --> 12:14.000]  Na górze.
[12:14.000 --> 12:16.000]  Na górze.
[12:16.000 --> 12:18.000]  Na górze.
[12:18.000 --> 12:20.000]  Below is?
[12:20.000 --> 12:22.000]  About where you were.
[12:22.000 --> 12:24.000]  No, like for example
[12:24.000 --> 12:26.000]  I tried to find something
[12:26.000 --> 12:28.000]  and it's above or it's below.
[12:28.000 --> 12:30.000]  Nad.
[12:30.000 --> 12:32.000]  Nad.
[12:32.000 --> 12:34.000]  Nad.
[12:34.000 --> 12:36.000]  Nad. Na górze.
[12:36.000 --> 12:38.000]  Nad.
[12:38.000 --> 12:40.000]  Nad.
[12:40.000 --> 12:42.000]  No dobrze.
[12:42.000 --> 12:44.000]  I tutaj?
[12:44.000 --> 12:46.000]  Jogurt.
[12:46.000 --> 12:48.000]  No tak.
[12:48.000 --> 12:50.000]  I to było?
[12:50.000 --> 12:52.000]  Tak. To jak ja?
[12:52.000 --> 12:54.000]  Jogurt.
[12:54.000 --> 12:56.000]  Jogurt naturalny.
[12:56.000 --> 12:58.000]  Jogurt naturalny.
[12:58.000 --> 13:00.000]  W.
[13:00.000 --> 13:02.000]  To jest jogurt naturalny.
[13:02.000 --> 13:04.000]  Tutaj jogurt jakiś owocowy,
[13:04.000 --> 13:06.000]  owocowy.
[13:06.000 --> 13:08.000]  No dobrze. Super.
[13:08.000 --> 13:10.000]  To ten element.
[13:10.000 --> 13:12.000]  Co to?
[13:12.000 --> 13:14.000]  Ser. Ser.
[13:14.000 --> 13:16.000]  Ser, ser, ser.
[13:16.000 --> 13:18.000]  Jaki ser?
[13:18.000 --> 13:20.000]  Podkalny.
[13:20.000 --> 13:22.000]  Góra?
[13:22.000 --> 13:24.000]  Jakaś gołda.
[13:24.000 --> 13:26.000]  Tak, jest gołda. Żółty.
[13:26.000 --> 13:28.000]  Żółty jego.
[13:28.000 --> 13:30.000]  Żółty ser.
[13:30.000 --> 13:32.000]  Żółty ser.
[13:32.000 --> 13:34.000]  Super.
[13:34.000 --> 13:36.000]  To jest alternatywny ser.
[13:36.000 --> 13:38.000]  Biały ser.
[13:38.000 --> 13:40.000]  Biały ser.
[13:40.000 --> 13:42.000]  Oh, camel bed.
[13:42.000 --> 13:44.000]  To jest taki klasyczny,
[13:44.000 --> 13:46.000]  jak taki cottage.
[13:46.000 --> 13:48.000]  Not cottage, because it's not like
[13:48.000 --> 13:50.000]  liquid a little bit.
[13:50.000 --> 13:52.000]  Biały ser white cheese.
[13:52.000 --> 13:54.000]  Tak, jest dobry. Bardzo dobry.
[13:54.000 --> 13:56.000]  Oh, like twaróg?
[13:56.000 --> 13:58.000]  Tak. To jest jak twaróg.
[13:58.000 --> 14:00.000]  To jest typowe to.
[14:00.000 --> 14:02.000]  Twaróg.
[14:02.000 --> 14:04.000]  Oh, oh, oh.
[14:04.000 --> 14:06.000]  Oh, oh, oh.
[14:06.000 --> 14:08.000]  Typowo. Biedronka.
[14:08.000 --> 14:10.000]  Tak, Lidl.
[14:10.000 --> 14:12.000]  Twaróża. Klasyka.
[14:12.000 --> 14:14.000]  A cottage?
[14:14.000 --> 14:16.000]  O, tutaj jest serek miejski.
[14:16.000 --> 14:18.000]  Miejski cottage cheese.
[14:18.000 --> 14:20.000]  What is twaróg?
[14:20.000 --> 14:22.000]  O, twaróg. To jest to.
[14:22.000 --> 14:24.000]  To jest jak white cheese.
[14:24.000 --> 14:26.000]  Aha.
[14:26.000 --> 14:28.000]  It's like a very solid.
[14:28.000 --> 14:30.000]  It doesn't come with like flavor.
[14:30.000 --> 14:32.000]  You kind of have to add salt.
[14:32.000 --> 14:34.000]  If you want to make it directly,
[14:34.000 --> 14:36.000]  you add some salt and herbs maybe.
[14:36.000 --> 14:38.000]  And also Polish people, for example,
[14:38.000 --> 14:40.000]  mix this with fish.
[14:40.000 --> 14:42.000]  For example, in tomato sauce
[14:42.000 --> 14:44.000]  you are adding some cebula,
[14:44.000 --> 14:46.000]  onion, pieprz,
[14:46.000 --> 14:48.000]  sól, mix
[14:48.000 --> 14:50.000]  i jest gotowe.
[14:50.000 --> 14:52.000]  So it's not cottage cheese,
[14:52.000 --> 14:54.000]  different?
[14:54.000 --> 14:56.000]  A little bit different.
[14:56.000 --> 14:58.000]  I don't know much about cottage cheese.
[14:58.000 --> 15:00.000]  Like, is it sweet?
[15:00.000 --> 15:02.000]  Is cottage cheese cottage cheese?
[15:02.000 --> 15:04.000]  It's very mild.
[15:04.000 --> 15:06.000]  Sour.
[15:06.000 --> 15:08.000]  It's more wet.
[15:08.000 --> 15:10.000]  A little bit like liquid,
[15:10.000 --> 15:12.000]  but not like liquid like water.
[15:12.000 --> 15:14.000]  Just different type of structure.
[15:14.000 --> 15:16.000]  Tak, tak, tak.
[15:16.000 --> 15:18.000]  Ale to taki typowy,
[15:18.000 --> 15:20.000]  ale bardzo dobry.
[15:20.000 --> 15:22.000]  No dobrze.
[15:22.000 --> 15:24.000]  I mamy następny element.
[15:24.000 --> 15:26.000]  Ser żółty, ser biały.
[15:26.000 --> 15:28.000]  A co to jest?
[15:28.000 --> 15:30.000]  Co to?
[15:30.000 --> 15:32.000]  Chwileczko?
[15:32.000 --> 15:34.000]  Chlep?
[15:34.000 --> 15:36.000]  Chlep, tak.
[15:36.000 --> 15:38.000]  The type of?
[15:38.000 --> 15:40.000]  Bułka?
[15:40.000 --> 15:42.000]  Bułka, tak. To jest bułka.
[15:42.000 --> 15:44.000]  Co to znaczy bułka?
[15:44.000 --> 15:46.000]  O, bułka.
[15:46.000 --> 15:48.000]  O, już prezentuje.
[15:48.000 --> 15:50.000]  Bułka. To jest bułka.
[15:50.000 --> 15:52.000]  Tak.
[15:52.000 --> 15:54.000]  To jest typowa bułka.
[15:54.000 --> 15:56.000]  Akceptujecie, lubicie bułki?
[15:56.000 --> 15:58.000]  Czy chleb?
[15:58.000 --> 16:00.000]  Chlep. I mam chleb, tak?
[16:00.000 --> 16:02.000]  Preferuję bułkę.
[16:02.000 --> 16:04.000]  Bułkę.
[16:04.000 --> 16:06.000]  Bułkę, tak.
[16:06.000 --> 16:08.000]  No, no, no.
[16:08.000 --> 16:10.000]  Daniel też bułka, nie?
[16:10.000 --> 16:12.000]  Bułka z kiełbasą.
[16:12.000 --> 16:14.000]  A z kiełbasą. Kiełbasa jest ważna dla Daniela.
[16:14.000 --> 16:16.000]  Importna.
[16:16.000 --> 16:18.000]  Tak, tak.
[16:18.000 --> 16:20.000]  Dobrze, dobrze.
[16:20.000 --> 16:22.000]  Ok.
[16:22.000 --> 16:24.000]  W porządku.
[16:24.000 --> 16:26.000]  To kontynuujemy.
[16:26.000 --> 16:28.000]  I mieli chleb, tak?
[16:28.000 --> 16:30.000]  Chleb tutaj.
[16:30.000 --> 16:32.000]  Fajne.
[16:32.000 --> 16:34.000]  Gdzie jest chleb?
[16:42.000 --> 16:44.000]  Proszę.
[16:44.000 --> 16:46.000]  Chleb jasny i ciemny.
[16:46.000 --> 16:48.000]  Ciemny?
[16:48.000 --> 16:50.000]  Ciemny.
[16:50.000 --> 16:52.000]  Dziękuję bardzo.
[16:52.000 --> 16:54.000]  I tu jest ekstra informacja.
[16:54.000 --> 16:56.000]  Jasny.
[16:56.000 --> 16:58.000]  Light and dark.
[16:58.000 --> 17:00.000]  Tak.
[17:00.000 --> 17:02.000]  Jasny i ciemny.
[17:02.000 --> 17:04.000]  Jasny i ciemny.
[17:04.000 --> 17:06.000]  Co lubicie? Co preferujecie?
[17:06.000 --> 17:08.000]  Jasny, ciemny?
[17:08.000 --> 17:10.000]  Jasny.
[17:10.000 --> 17:12.000]  Jasny.
[17:12.000 --> 17:14.000]  Typowo, tak. Polacy też, też.
[17:14.000 --> 17:16.000]  Ale to jest absolutnie chyba z tych.
[17:16.000 --> 17:18.000]  No, no, tak.
[17:18.000 --> 17:20.000]  Tak. Jasny, ciemny.
[17:20.000 --> 17:22.000]  No dobrze.
[17:22.000 --> 17:24.000]  Ok.
[17:24.000 --> 17:26.000]  A tutaj co to jest?
[17:26.000 --> 17:28.000]  Jaki to produkt?
[17:28.000 --> 17:30.000]  Masło.
[17:30.000 --> 17:32.000]  Masło.
[17:32.000 --> 17:34.000]  Masło. Tak. To jest masło.
[17:34.000 --> 17:36.000]  I masło tutaj.
[17:36.000 --> 17:38.000]  Prawa pozycja.
[17:38.000 --> 17:40.000]  Tak. Masło.
[17:40.000 --> 17:42.000]  A to alternatywa masła.
[17:42.000 --> 17:44.000]  Margaryna.
[17:44.000 --> 17:46.000]  Margaryna.
[17:46.000 --> 17:48.000]  Margaryna.
[17:48.000 --> 17:50.000]  Tak. Jest alternatywa.
[17:50.000 --> 17:52.000]  Masło, margaryna.
[17:52.000 --> 17:54.000]  Preferujecie coś?
[17:54.000 --> 17:56.000]  Masło.
[17:56.000 --> 18:00.000]  Jest zdrowsze, w nowe.
[18:00.000 --> 18:02.000]  Masło. Super, bardzo dobrze.
[18:02.000 --> 18:04.000]  A taki produkt?
[18:04.000 --> 18:06.000]  Tu jest truskawka
[18:06.000 --> 18:08.000]  zdrowej
[18:08.000 --> 18:10.000]  i wiśnia.
[18:10.000 --> 18:12.000]  Dżem.
[18:12.000 --> 18:14.000]  Dżem.
[18:14.000 --> 18:16.000]  Dżem.
[18:16.000 --> 18:18.000]  Prawa pozycja.
[18:18.000 --> 18:20.000]  Super, bardzo dobrze.
[18:20.000 --> 18:22.000]  Mamy dżem.
[18:22.000 --> 18:24.000]  A to?
[18:24.000 --> 18:26.000]  Jajko.
[18:26.000 --> 18:35.600]  I jajko, jajko, jajko. O tutaj mamy jajko. Super. I co ekstra? Danie.
[18:35.600 --> 18:45.200]  Kiełbasa. To jest kiełbasa, tak, naturalnie. Super. A to? Mięso.
[18:45.200 --> 18:55.200]  Zobaczmy co mamy.
[18:55.200 --> 19:05.200]  Szynka. Szynka. Szynka. Szynka. To jest tylko ham.
[19:05.200 --> 19:10.200]  Tak, tylko ham. Ham. Tak, tak, tak.
[19:10.200 --> 19:14.200]  A co jest słowo po pornie?
[19:14.200 --> 19:22.200]  Jak wiep... por? Ja czekam, bo cały czas robię błąd z tym.
[19:22.200 --> 19:25.200]  Ale mięso, a meat, wieprzowina.
[19:25.200 --> 19:29.200]  Generalnie to będzie jak mięso.
[19:29.200 --> 19:37.200]  Mięso, jak mówisz. Ale to nie jest tylko ham, więc typ wieprzowina.
[19:37.200 --> 19:38.200]  Tak.
[19:38.200 --> 19:40.200]  Tylko...
[19:40.200 --> 19:43.200]  Mięso.
[19:43.200 --> 19:44.200]  Mięso.
[19:44.200 --> 19:45.200]  Tak.
[19:45.200 --> 19:48.200]  I w obrębku, w ikonce mor.
[19:48.200 --> 19:49.200]  O.
[19:49.200 --> 19:50.200]  Bogłowina.
[19:50.200 --> 19:58.200]  Tak. Bogłowina, wieprzowina, cielęcina, barmina, jagnięcina jeszcze.
[19:58.200 --> 19:59.200]  Dzieczyzna.
[19:59.200 --> 20:00.200]  Tak?
[20:00.200 --> 20:01.200]  Tak.
[20:01.200 --> 20:02.200]  Dużo, dużo.
[20:02.200 --> 20:03.200]  Tak.
[20:03.200 --> 20:04.200]  Chwot.
[20:04.200 --> 20:08.200]  A w historii Graszków to jest mięso bardzo często i po prostu jest to por.
[20:08.200 --> 20:09.200]  Tak?
