"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:19.820]  Dobra. Zaczynamy czas przeszły.
[04:39.520 --> 04:41.520]  paszt formów jadek?
[04:41.520 --> 04:43.520]  Nie.
[04:43.520 --> 04:45.520]  Nie? Nie.
[04:45.520 --> 04:47.520]  Nie rozumiem. Ok. Dobra.
[04:47.520 --> 04:49.520]  Czy jeszcze jakieś? Zaraz do tego przyjdziemy.
[04:49.520 --> 04:51.520]  Zaraz to zrobimy.
[04:53.520 --> 04:55.520]  Przepraszam? Zaraz to zrobimy.
[04:55.520 --> 04:57.520]  Zaraz będzie jadłem. Czy jeszcze jakieś?
[04:57.520 --> 04:59.520]  What else?
[05:03.520 --> 05:05.520]  Miałem
[05:05.520 --> 05:07.520]  to jest
[05:07.520 --> 05:09.520]  mam.
[05:13.520 --> 05:15.520]  Miałem
[05:15.520 --> 05:17.520]  chciałaś
[05:17.520 --> 05:19.520]  chciałaś
[05:19.520 --> 05:21.520]  Chodziła
[05:21.520 --> 05:23.520]  to jest
[05:23.520 --> 05:25.520]  chodzić. Chodzić.
[05:25.520 --> 05:27.520]  Widzieliśmy
[05:27.520 --> 05:29.520]  to jest widzieć.
[05:29.520 --> 05:31.520]  Widzieć.
[05:31.520 --> 05:33.520]  I uczyłem się
[05:33.520 --> 05:35.520]  to uczycie? Tak.
[05:35.520 --> 05:37.520]  Super.
[05:37.520 --> 05:39.520]  No dobra. No to zrobimy tak.
[05:41.520 --> 05:43.520]  Teraz posłuchamy
[05:43.520 --> 05:45.520]  i
[05:45.520 --> 05:47.520]  spróbujemy
[05:47.520 --> 05:49.520]  wpisać
[05:49.520 --> 05:51.520]  te czasowniki do
[05:51.520 --> 05:53.520]  rozmowy.
[05:53.520 --> 05:55.520]  Posłuchamy i
[05:55.520 --> 05:57.520]  want to fill this conversation
[05:57.520 --> 05:59.520]  with this verbs. Ok?
[05:59.520 --> 06:01.520]  Spróbujemy.
[06:15.520 --> 06:19.520]  Słucham?
[06:19.520 --> 06:21.520]  Cześć Aniu. Co słychać?
[06:21.520 --> 06:35.520]  Cześć Jacek. Cieszę się bardzo, że dzwonisz. U mnie wszystko w porządku. A u Ciebie? Dawno nie rozmawialiśmy. No tak. Byłem zajęty. Nie miałem czasu. Przepraszam, że nie dzwoniłem, ale wiesz uczyłem się do egzaminu. Z ekonomii, prawda? Dobrze pamiętam? Tak. Dobrze pamiętasz. Z ekonomii. A co u Ciebie? Masz nową pracę? Szukałaś nowej pracy kiedy ostatnio się nie doczytałaś? Tak. Tak.
[06:35.520 --> 06:37.520]  Chodziło mi się, że
[06:37.520 --> 06:39.520]  no nie ma
[06:39.520 --> 06:41.520]  problemu w tym
[06:41.520 --> 06:43.520]  załatwienia
[06:43.520 --> 06:46.520]  Szukałaś nowej pracy, kiedy ostatnio siedzieliśmy, prawda?
[06:46.520 --> 06:49.520]  Tak, szukałam, ale nie miałam szczęścia.
[06:49.520 --> 06:51.520]  Pracuję dalej, tam gdzie pracowałam.
[06:51.520 --> 06:55.520]  Naprawdę? Pamiętam, że bardzo chciałaś mieć nową pracę.
[06:55.520 --> 06:59.520]  No tak. A wiesz co u Marty? Masz z nią kontakt?
[06:59.520 --> 07:01.520]  Nie, nie wiem co u niej słychać.
[07:01.520 --> 07:03.520]  Dawno z nią nie rozmawiałem.
[07:03.520 --> 07:07.520]  Wiem, że chodziła na intensywny kurs angielskiego, ale nie mam z nią teraz kontaktu.
[07:07.520 --> 07:11.520]  Dobra, oczywiście jeszcze raz.
[07:11.520 --> 07:13.520]  Dzień dobry.
[07:13.520 --> 07:17.520]  To jest najpierw to.
[07:17.520 --> 07:21.520]  To jest jak ja się odwołuję do Alicja.
[07:25.520 --> 07:31.520]  Dobra. I spróbujemy zrobić przerwę po każdym słowie.
[07:31.520 --> 07:35.520]  We try to make a break after every gap.
[07:37.520 --> 07:39.520]  Dziesiąta. Ćwiczenie 1A.
[07:45.520 --> 07:46.520]  Słucham.
[07:46.520 --> 07:47.520]  Cześć Anioł, co słychać?
[07:47.520 --> 07:54.520]  Cześć Jacek. Cieszę się bardzo, że dzwonisz. U mnie wszystko w porządku. A u ciebie? Dawno nie rozmawialiśmy.
[07:54.520 --> 07:57.520]  No tak, byłem zajęty, nie miałem czasu.
[08:01.520 --> 08:04.520]  Przepraszam, że nie dzwoniłem, ale wiesz, uczyłem się do egzaminu.
[08:07.520 --> 08:10.520]  Dzień dobry.
[08:10.520 --> 08:13.520]  Ekonomii, prawda? Dobrze pamiętam?
[08:13.520 --> 08:20.520]  Tak, dobrze pamiętasz. Z ekonomii. A co u ciebie? Masz nową pracę? Szukałaś nowej pracy kiedy ostatnio się widzieliśmy, prawda?
[08:20.520 --> 08:21.520]  Tak.
[08:31.520 --> 08:36.520]  Tak, szukałam, ale nie miałam szczęścia. Pracuję dalej tam, gdzie pracowałam.
[08:37.520 --> 08:43.520]  Tak, no dobrze.
[08:43.520 --> 08:46.520]  Pamiętam, że bardzo chciałaś mieć nową pracę.
[08:46.520 --> 08:50.520]  No tak. A wiesz co u Marty? Małej z nią kontakt.
[08:50.520 --> 08:54.520]  Nie, nie wiem co u niej słychać. Dawno z nią nie rozmawiałem.
[08:58.520 --> 09:03.520]  Wiem, że chodziła na intensywny kurs angielskiego, ale nie mam z nią teraz kontaktu.
[09:07.520 --> 09:11.520]  No i jak?
[09:17.520 --> 09:19.520]  Ile brakuje?
[09:21.520 --> 09:23.520]  Kał na niej?
[09:23.520 --> 09:26.520]  Uwaga.
[09:28.520 --> 09:30.520]  Ok.
[09:32.520 --> 09:36.520]  Dobra, jeszcze raz. Spróbujmy teraz w całości.
[09:37.520 --> 09:38.520]  Dalej.
[09:39.520 --> 09:40.520]  Napisse...
[09:41.520 --> 09:43.520]  Ale jeszcze raz!
[09:43.520 --> 09:44.520]  No...
[09:44.520 --> 09:45.520]  Może.
[09:45.520 --> 09:47.420]  No, nie wiem.
[09:47.520 --> 09:49.520]  To cię那個, k82 to nie jest.
[09:50.520 --> 09:51.520]  Witam Roseст65.
[09:51.520 --> 09:52.520]  Oh, ja three przypominam.
[09:52.520 --> 09:53.520]  Nein.
[09:53.520 --> 09:54.520]  Uh.
[09:54.520 --> 09:55.520]  Nie mam nach ceramicu.
[09:55.520 --> 09:57.520]  Nie mamy restoracji, ale mamy też poprawку opracowania.
[09:58.520 --> 10:01.520]  Nie da wasments, szansa WARU.
[10:01.520 --> 10:02.520] ит.
[10:02.520 --> 10:03.520]  To tak, że passouło.
[10:03.520 --> 10:04.520]  To spróbujemy.
[10:04.520 --> 10:05.520]  Jak Ц bebą jakaś druga.
[10:05.520 --> 10:06.160]  Pamiętam?
[10:06.380 --> 10:08.220]  Tak, dobrze pamiętasz. Z ekonomii.
[10:08.780 --> 10:10.400]  A co u ciebie? Masz nową pracę?
[10:10.920 --> 10:13.260]  Szukałaś nowej pracy, kiedy ostatnio się widzieliśmy, prawda?
[10:13.500 --> 10:14.660]  Tak, szukałam.
[10:15.020 --> 10:16.280]  Ale nie miałam szczęścia.
[10:16.600 --> 10:18.540]  Pracuję dalej, tam gdzie pracowałam.
[10:19.040 --> 10:19.520]  Naprawdę?
[10:20.060 --> 10:22.480]  Pamiętam, że bardzo chciałaś mieć nową pracę.
[10:22.760 --> 10:23.640]  No tak.
[10:24.300 --> 10:25.260]  A wiesz co u Marty?
[10:25.760 --> 10:26.740]  Masz z nią kontakt?
[10:27.220 --> 10:28.840]  Nie, nie wiem co o niej słychać.
[10:29.380 --> 10:30.400]  Dawno z nią nie rozmawiałem.
[10:30.400 --> 10:32.400]  Wiem, że chodziła na intensywny kurs angielskiego,
[10:33.340 --> 10:34.880]  ale nie mam z nią teraz kontaktu.
[10:35.520 --> 10:37.520]  Dobra.
[11:05.520 --> 11:11.520]  No dobra, no to próbujemy.
[11:13.520 --> 11:17.420]  Czyli dzwoni Jacek do Ani.
[11:20.420 --> 11:22.780]  I Ana mówi, coś tam, coś tam.
[11:23.240 --> 11:25.980]  Dawno nie rozmawialiśmy.
[11:27.280 --> 11:28.400]  Jacek odpowiada.
[11:28.400 --> 11:30.420]  No tak, byłem zajęty.
[11:31.080 --> 11:31.220]  Nie?
[11:35.520 --> 11:36.800]  Chciałeś?
[11:38.020 --> 11:39.020]  Nie.
[11:39.920 --> 11:41.840]  Nie miałam, dobrze.
[11:42.220 --> 11:44.340]  Nie miałem czasu.
[11:45.760 --> 11:47.040]  I didn't have time.
[11:48.620 --> 11:50.520]  Przepraszam, że nie...
[11:55.520 --> 11:56.920]  dzwoniłem.
[11:57.080 --> 11:58.000]  Dzwoniłem.
[11:58.000 --> 12:00.000]  Ale wiesz...
[12:01.520 --> 12:01.980]  Miałem.
[12:03.320 --> 12:03.480]  No.
[12:05.520 --> 12:08.920]  I i tak mówić, ty mójavored miałem to pytanie Rede Áurópeu.
[12:08.920 --> 12:10.180]  Nie, wy twin-de bałaś!
[12:10.180 --> 12:12.180]  Nie zamierzałam 박Justem, żeby zanachorować na 정도로 wymagane i mom damaging albo zabkke się wיך.
[12:12.180 --> 12:13.980]  Błogosławie languagescos y formal教awik bath pleasure book.
[12:14.020 --> 12:35.380]  To
[12:35.520 --> 12:44.520]  Co robimy z egzaminem?
[12:44.520 --> 12:46.520]  Uczyłem się.
[12:46.520 --> 12:59.520]  I potem Jacek pyta, co u Ciebie? Masz nową pracę?
[12:59.520 --> 13:06.520]  Ale... numer 4. Szukałeś nowej pracy.
[13:06.520 --> 13:13.520]  Kiedy ostatnio się...
[13:13.520 --> 13:15.520]  Widzieliśmy.
[13:15.520 --> 13:17.520]  Widzieliśmy, dobrze.
[13:17.520 --> 13:22.520]  She was looking for a new job last time when she worked in the city.
[13:22.520 --> 13:27.520]  Ania odpowiada. Tak szukałam, ale nie miałam szczęścia.
[13:27.520 --> 13:29.520]  Pracuję dalej tam,
[13:29.520 --> 13:31.520]  gdzie...
[13:31.520 --> 13:33.520]  pracowała.
[13:33.520 --> 13:35.520]  Pracowała.
[13:35.520 --> 13:43.520]  I Jacek odpowiada. Naprawdę pamiętam, że bardzo...
[13:43.520 --> 13:44.520]  Chciałaś.
[13:44.520 --> 13:47.520]  Chciałaś mieć nową pracę.
[13:47.520 --> 13:50.520]  No i potem Ania pyta o Martę.
[13:50.520 --> 13:55.520]  Jacek mówi. Dawno z nią nie...
[13:55.520 --> 13:57.520]  numer 8.
[13:57.520 --> 13:59.520]  Rozmawiałem.
[13:59.520 --> 14:01.520]  Rozmawiałem.
[14:01.520 --> 14:03.520]  Wiem, że...
[14:03.520 --> 14:05.520]  Chodziła.
[14:05.520 --> 14:10.520]  Super. Chodziła na intensywny kurs angielski.
[14:10.520 --> 14:16.520]  Wszystkie czasowniki tutaj są w czasie przeszłym.
[14:16.520 --> 14:21.520]  So all verbs are in the past tense.
[14:21.520 --> 14:26.520]  Czy są jakieś słowa, których nie rozumiemy?
[14:27.520 --> 14:29.520]  Czy są jakieś słowa, których nie rozumiemy?
[14:29.520 --> 14:35.520]  Kilka. Kilka.
[14:35.520 --> 14:40.520]  Widzieliśmy.
[14:40.520 --> 14:47.520]  Widzieliśmy. Od słowa widzieć. To jest ostatnia forma widzieć.
[14:47.520 --> 14:49.520]  Co tu jest?
[14:49.520 --> 14:52.520]  A, no, widzieć.
[14:52.520 --> 14:54.520]  To jest C.
[14:54.520 --> 14:58.520]  Widzieć. Tak.
[14:58.520 --> 15:00.520]  Widzieć. Tak.
[15:00.520 --> 15:01.520]  Ok.
[15:01.520 --> 15:03.520]  Ok. Co jeszcze?
[15:03.520 --> 15:11.520]  To jest rozmawiać. To jest rozmawiać.
[15:11.520 --> 15:12.520]  Rozmawiać.
[15:12.520 --> 15:13.520]  Rozmawiać.
[15:13.520 --> 15:14.520]  Rozmawiać.
[15:14.520 --> 15:15.520]  Rozmawiać.
[15:15.520 --> 15:18.520]  Tak. Rozmawiać, ale w czasie przeszłym.
[15:18.520 --> 15:21.520]  Rozmawiać w laty past tense.
[15:21.520 --> 15:22.520]  Rozmawiać w laty past tense.
[15:22.520 --> 15:23.520]  rotating.
[15:23.520 --> 15:24.520]  Wentylacja.
[15:24.520 --> 15:25.520]  Wentylacja.
[15:25.520 --> 15:28.020]  To jest nog氣 w yewg cholチャu.
[15:28.020 --> 15:31.020]  W czystości geht addyny.
[15:31.020 --> 15:32.520]  To są rzecz Station Punkie na czasze przed nismytnym,
[15:32.520 --> 15:33.520]  bo jest znamione.
[15:33.520 --> 15:34.520]  Aha,OK, tam jest demo kешьmy.
[15:34.520 --> 15:35.520]  Mamy snę найд voluntwirka.
[15:35.520 --> 15:36.280]  Co謝謝ятся lub jedno nam très bienvenue da par HTML
[15:36.280 --> 15:37.320]  Się, są dziesięcie się bardzoaliżonych?
[15:37.320 --> 15:38.320]  What is it?
[15:38.320 --> 15:39.320]  Się, są dziesięcie się bardzoaliżonych?
[15:39.320 --> 15:40.520]  Ch descent attitude?
[15:40.520 --> 15:41.520]  Jaki jest ten700 The second word is Brian ser?
[15:41.520 --> 15:42.520]  So you never forget to leave.
[15:42.520 --> 15:43.620]  What is it?
[15:43.620 --> 15:45.520]  No, I skipping the first one.
[15:45.520 --> 15:46.520]  The second one.
[15:46.520 --> 15:47.520]  The third one,
[15:47.520 --> 15:48.500]  A display hemos jak stach ale i zでも
[15:48.520 --> 15:51.720]  A
[15:52.520 --> 15:56.520]  To jest to. To jest to, co mówimy.
[16:00.520 --> 16:04.520]  Dawno? Co to znaczy dawno?
[16:04.520 --> 16:06.520]  Long time ago.
[16:11.520 --> 16:14.520]  Czyli dawno nie rozmawialiśmy.
[16:14.520 --> 16:20.520]  To jest przesłane w kolejnym języku, tak jak do samego czasu.
[16:20.520 --> 16:23.520]  Do ostatniego czasu.
[16:25.520 --> 16:29.520]  Byłem zajęty, więc byłem bezzynny.
[16:34.520 --> 16:37.520]  Byłem bezzynny, więc byłem bezzynny.
[16:41.520 --> 16:43.520]  Dobra. Czy coś jeszcze?
[16:44.520 --> 16:46.520]  O, nie wiem.
[16:49.520 --> 16:51.520]  Co to znaczy pamiętać?
[16:52.520 --> 16:53.520]  Pamiętać.
[16:54.520 --> 16:55.520]  Zrozumieć.
[16:56.520 --> 16:59.520]  Więc co ona pyta? Zrozumiesz dobrze?
[17:00.520 --> 17:03.520]  Dobrze pamiętam. Co to znaczy?
[17:05.520 --> 17:07.520]  Zrozumiem dobrze?
[17:08.520 --> 17:10.520]  Tak, czy zrozumiem dobrze?
[17:10.520 --> 17:11.520]  Tak, tak.
[17:14.520 --> 17:16.520]  Ok.
[17:22.520 --> 17:23.520]  Ok.
[17:24.520 --> 17:27.520]  Ok. Intensywny? Rozumiemy.
[17:28.520 --> 17:30.520]  Kontakt? Rozumiemy.
[17:31.520 --> 17:34.520]  Czy coś jeszcze w tym tekście?
[17:35.520 --> 17:36.520]  Czy co?
[17:37.520 --> 17:38.520]  Nic innego.
[17:38.520 --> 17:44.520]  Czym jest słowo szukać?
[17:44.520 --> 17:48.520]  Szukać, szukać.
[17:48.520 --> 17:54.520]  Szczęścia to znaczy szybko...
[17:54.520 --> 17:58.520]  Szukać, to znaczy szukać czegoś.
[17:58.520 --> 18:00.520]  Ok, przepraszam.
[18:00.520 --> 18:04.520]  Szczęście to znaczy być szczęśliwy.
[18:04.520 --> 18:06.520]  Jeszcze raz.
[18:06.520 --> 18:08.520]  Szczęście.
[18:08.520 --> 18:10.520]  Nie miałam szczęścia.
[18:10.520 --> 18:12.520]  Szczęście to znaczy szczęście.
[18:12.520 --> 18:14.520]  Nie miałam szczęścia.
[18:28.520 --> 18:31.520]  Czy chodźcicie mają coś do do z chodźciciem?
[18:31.520 --> 18:33.520]  Tak, chodźcicie.
[18:33.520 --> 18:34.520]  To jest przeszłe szkolenie?
[18:34.520 --> 18:35.520]  Tak.
[18:35.520 --> 18:37.520]  Pierwsze?
[18:37.520 --> 18:40.520]  Wiem, że chodziłam na...
[18:40.520 --> 18:43.520]  Powiedziałeś, że...
[18:43.520 --> 18:48.520]  Wiem, że chodziła.
[18:48.520 --> 18:50.520]  Zaraz zrobimy.
[18:50.520 --> 18:53.520]  Zrobimy tak, jak...
[18:53.520 --> 18:55.520]  Nie zrozumieliśmy tego, tak.
[18:55.520 --> 18:57.520]  Tak, tak.
[18:57.520 --> 18:59.520]  Będziemy robić to krok po kroku.
[18:59.520 --> 19:00.520]  Jak zrobimy to.
[19:00.520 --> 19:01.520]  Przednią tęsknięcie.
[19:01.520 --> 19:02.520]  Dobra.
[19:02.520 --> 19:03.520]  Mamy teraz drugie nagranie.
[19:03.520 --> 19:05.520]  Drugi nagranie.
[19:05.520 --> 19:07.520]  Marta dzwoni do taty.
[19:07.520 --> 19:09.520]  So the other...
[19:13.520 --> 19:15.520]  So the other dialogue.
[19:15.520 --> 19:17.520]  Ok.
[19:17.520 --> 19:19.520]  I czasowniki przeczytaliśmy, tak?
[19:19.520 --> 19:23.520]  Dzwoniłaś, byłam, spałem.
[19:23.520 --> 19:25.520]  Pamiętamy, co znaczy spałem?
[19:25.520 --> 19:27.520]  Spatrz.
[19:27.520 --> 19:28.520]  Mhm.
[19:28.520 --> 19:30.520]  Co to znaczy?
[19:30.520 --> 19:31.520]  To sleep.
[19:31.520 --> 19:32.520]  Mhm.
[19:32.520 --> 19:34.520]  Spacerowałem.
[19:34.520 --> 19:36.520]  Spacerować.
[19:36.520 --> 19:37.520]  To walk.
[19:37.520 --> 19:38.520]  To walk.
[19:38.520 --> 19:39.520]  Mhm.
[19:39.520 --> 19:40.520]  Planowałaś.
[19:40.520 --> 19:41.520]  Planować.
[19:41.520 --> 19:42.520]  To plan.
[19:42.520 --> 19:43.520]  To plan.
[19:43.520 --> 19:44.520]  Mhm.
[19:44.520 --> 19:45.520]  Dobra.
[19:45.520 --> 19:48.520]  I jadłem.
[19:48.520 --> 19:50.520]  Jadłem.
[19:50.520 --> 19:52.520]  Jeść.
[19:52.520 --> 19:53.520]  Jeść.
[19:53.520 --> 19:54.520]  Super.
[19:54.520 --> 19:55.520]  Jadłem, jadłeś.
[19:55.520 --> 19:56.520]  Od czasownika jeść.
[19:56.520 --> 19:57.520]  Mhm.
[19:57.520 --> 19:58.520]  No dobra.
[19:58.520 --> 20:00.520]  No to słuchamy teraz drugiego nagrania.
[20:00.520 --> 20:01.520]  Tak.
[20:01.520 --> 20:02.520]  Dobra.
[20:02.520 --> 20:03.520]  No cześć Martuniu.
[20:03.520 --> 20:04.520]  Co tam u ciebie słychać?
[20:04.520 --> 20:05.520]  Dawno nie dzwoniłaś.
[20:05.520 --> 20:06.520]  Tak.
[20:06.520 --> 20:07.520]  Przepraszam tato.
[20:07.520 --> 20:08.520]  Wierzę, że ostatnio byłam bardzo zajęta.
[20:08.520 --> 20:09.520]  Miałam tak dużo pracy.
[20:09.520 --> 20:10.520]  Nic nie szkodzi kochanie.
[20:10.520 --> 20:11.520]  Ale co słychać u ciebie?
[20:11.520 --> 20:12.520]  Jak było w Zakopanem?
[20:12.520 --> 20:13.520]  Świetnie.
[20:13.520 --> 20:14.520]  A jaka była pogoda?
[20:14.520 --> 20:15.520]  Bardzo ładna tato.
[20:15.520 --> 20:16.520]  A z kim ty byłaś na tej wycieczce?
[20:16.520 --> 20:17.520]  Nie pamiętam.
[20:17.520 --> 20:18.520]  Nie pamiętam.
[20:18.520 --> 20:19.520]  Nie pamiętam.
[20:19.520 --> 20:20.520]  Nie pamiętam.
[20:20.520 --> 20:21.520]  Nie pamiętam.
[20:21.520 --> 20:22.520]  Nie pamiętam.
[20:22.520 --> 20:23.520]  Nie pamiętam.
[20:23.520 --> 20:24.520]  Nie pamiętam.
[20:24.520 --> 20:25.520]  Nie pamiętam.
[20:25.520 --> 20:26.520]  Nie pamiętam.
[20:26.520 --> 20:27.520]  Nie pamiętam.
[20:27.520 --> 20:28.520]  Nie pamiętam.
[20:28.520 --> 20:29.520]  Nie pamiętam.
[20:29.520 --> 20:30.520]  Nie pamiętam.
[20:30.520 --> 20:31.520]  Nie pamiętam.
[20:31.520 --> 20:32.520]  A z kim ty byłaś na tej wycieczce?
[20:32.520 --> 20:33.520]  Nie pamiętam z kim planowałaś jechać?
[20:33.520 --> 20:34.520]  Z Jackiem?
[20:34.520 --> 20:35.520]  Nie.
[20:35.520 --> 20:36.520]  Nie z Jackiem.
[20:36.520 --> 20:37.520]  Nie mam z nim teraz kontaktu.
[20:37.520 --> 20:38.520]  Byłam z kolegami z pracy.
[20:38.520 --> 20:39.520]  No ale tatuś, jak ty się czujesz?
[20:39.520 --> 20:40.520]  Dobrze.
[20:40.520 --> 20:41.520]  Wczoraj długo spałem, oglądałem telewizję.
[20:41.520 --> 20:42.520]  Trochę spacerowałem.
[20:42.520 --> 20:43.520]  A co jadłeś na obiad?
[20:43.520 --> 20:44.520]  No co ty się mnie pytasz jak dziecka?
[20:44.520 --> 20:45.520]  Jadłem.
[20:45.520 --> 20:46.520]  Jadłem obiad.
[20:46.520 --> 20:47.520]  Dobra.
[20:47.520 --> 20:48.520]  Jeszcze raz.
[20:48.520 --> 20:49.520]  A ja mam.
[20:49.520 --> 20:50.520]  A ja mam.
[20:50.520 --> 20:51.520]  Dobra.
[20:51.520 --> 20:52.520]  Jeszcze raz.
[20:52.520 --> 20:53.520]  Ja mam.
[20:53.520 --> 20:54.520]  Ja mam.
[20:54.520 --> 20:57.520]  Jeszcze raz.
[21:24.520 --> 21:26.520]  Jaka była pogoda?
[21:30.520 --> 21:31.520]  Bardzo ładna tato.
[21:31.520 --> 21:33.520]  A z kim ty byłaś na tej wycieczce?
[21:33.520 --> 21:36.520]  Nie pamiętam z kim planowałaś jechać.
[21:44.520 --> 21:45.520]  Z Jackiem?
[21:45.520 --> 21:47.520]  Nie, nie z Jackiem.
[21:47.520 --> 21:49.520]  Nie mam z nim teraz kontaktu.
[21:49.520 --> 21:51.520]  Byłam z kolegami z pracy.
