[00:00.000 --> 00:02.000]  Nie, co?
[08:19.520 --> 08:21.520]  Jaains jesteśmy cholerystami.
[08:21.520 --> 08:24.520]  Czasami też jest po raz 1 tygodniowy.
[08:24.520 --> 08:28.520]  No nie mamрыdy, developed u r incentives.
[08:31.520 --> 08:32.520]  Czeski.
[08:32.520 --> 08:33.520]  Higherment spr Например nie muss.
[08:33.520 --> 08:34.520]  balloon.
[08:34.520 --> 08:35.520]  Także.
[08:35.520 --> 08:36.520]  Takżeشرительно.
[08:36.520 --> 08:37.520]  Ale teżитай, Nevertheless.
[08:37.520 --> 09:07.500]  Dzień dobry.
[09:07.520 --> 09:37.500]  Dzień dobry.
[09:37.520 --> 09:39.460]  Pani ile ma?
[09:49.000 --> 09:50.500]  500.
[09:52.340 --> 09:53.560]  Pani ile ma?
[09:54.820 --> 09:56.560]  Dobrze, oczekujmy.
[09:57.600 --> 09:58.500]  Pan ile ma?
[09:59.360 --> 10:00.280]  10.
[10:01.760 --> 10:03.540]  700.
[10:04.000 --> 10:05.020]  700.
[10:05.020 --> 10:10.020]  Siedemset dziesięć.
[10:10.020 --> 10:13.020]  Dziesiąt siedemset dziesięć.
[10:13.020 --> 10:16.020]  Tak, siedemset dziesięć. Dobrze.
[10:16.020 --> 10:20.020]  To Pani sobie jeszcze liczy. Słuchajcie, jak Pan ma na imię?
[10:20.020 --> 10:23.020]  Panie nie ma nic.
[10:23.020 --> 10:26.020]  Ile dacie?
[10:26.020 --> 10:32.020]  Sponsoring, sponsoring, sponsoring. Bardzo proszę dla Pana.
[10:32.020 --> 10:36.020]  Sponsoring money.
[10:36.020 --> 10:40.020]  Brawo, brawo, proszę bardzo.
[10:40.020 --> 10:44.020]  Super, świetnie, grupa od razu.
[10:44.020 --> 10:48.020]  Proszę bardzo, będziecie mieć.
[10:48.020 --> 10:50.020]  No, brawo.
[10:50.020 --> 10:53.020]  Thank you.
[10:53.020 --> 10:56.020]  I teraz you are the richest here.
[10:56.020 --> 10:59.020]  Tak to jest, tak to jest.
[10:59.020 --> 11:02.020]  Dobra, grupa jest tu, tam.
[11:02.020 --> 11:05.020]  Komunikacja świetna.
[11:05.020 --> 11:10.020]  No to słuchajcie, poproszę teraz każdy dwieście.
[11:10.020 --> 11:13.020]  Pokażcie mi dwieście.
[11:13.020 --> 11:16.020]  Show me two hundred.
[11:16.020 --> 11:19.020]  Dwieście, świetnie.
[11:19.020 --> 11:22.020]  Dwieście.
[11:22.020 --> 11:25.020]  Pani?
[11:25.020 --> 11:28.020]  Dwieście.
[11:28.020 --> 11:31.020]  Super, tak, mamy dwieście, świetnie.
[11:31.020 --> 11:35.020]  To poproszę teraz osiemdziesiąt.
[11:35.020 --> 11:36.020]  Osiemdziesiąt.
[11:36.020 --> 11:37.020]  Osiemdziesiąt.
[11:37.020 --> 11:39.020]  Osiemdziesiąt.
[11:44.020 --> 11:45.020]  Nie mam dwieście.
[11:45.020 --> 11:48.020]  Ok, super. Może ktoś ma?
[11:48.020 --> 11:53.020]  Kto ma dziesięć złotych? Dziesięć, dziesięć.
[11:53.020 --> 11:57.020]  Tak, tak, tak, tak, to jest dziesięć, super.
[11:57.020 --> 12:00.020]  Brawo, brawo, tutaj wina.
[12:00.020 --> 12:02.020]  A ja mam dziesięć.
[12:02.020 --> 12:05.020]  Dobrze. I osiemdziesiąt. Nie ma pan dziesięć?
[12:05.020 --> 12:06.020]  Nie.
[12:06.020 --> 12:09.020]  Kto ma dziesięć i może dać dziesięć? Proszę bardzo.
[12:09.020 --> 12:10.020]  Proszę bardzo.
[12:10.020 --> 12:13.020]  O, proszę bardzo, jest osiemdziesiąt, świetnie.
[12:13.020 --> 12:19.020]  Osiemdziesiąt. Osiemdziesiąt, osiemdziesiąt, dziesięć.
[12:19.020 --> 12:27.020]  To już jest dziewięćdziesiąt, bo to jest pięćdziesiąt, siedemdziesiąt, osiemdziesiąt, dziewięćdziesiąt.
[12:27.020 --> 12:29.020]  Ale tylko tyle.
[12:29.020 --> 12:31.020]  Tyle? Osiemdziesiąt.
[12:31.020 --> 12:34.020]  Świetnie, tak jest, mamy osiemdziesiąt.
[12:34.020 --> 12:35.020]  Osiemdziesiąt.
[12:35.020 --> 12:37.020]  Mamy osiemdziesiąt, bardzo dobrze.
[12:37.020 --> 12:41.020]  To teraz poproszę trzysta.
[12:41.020 --> 12:42.020]  Trzysta.
[12:42.020 --> 12:43.020]  Trzysta.
[12:43.020 --> 12:45.020]  Trzysta.
[12:45.020 --> 12:46.020]  Trzysta.
[12:46.020 --> 12:47.020]  Trzysta.
[12:47.020 --> 12:48.020]  Trzysta.
[12:48.020 --> 12:49.020]  Trzysta.
[12:49.020 --> 12:52.020]  Tak, jest, tak, jest, trzysta.
[12:52.020 --> 12:53.020]  Trzysta.
[12:53.020 --> 12:57.020]  Tak, jest, jest, trzysta, jest, trzysta, świetnie.
[12:57.020 --> 12:58.020]  Te trzysta?
[12:58.020 --> 13:01.020]  Tak, to jest trzysta, to jest trzysta, to jest ok.
[13:01.020 --> 13:04.020]  A teraz poproszę czterdzieści.
[13:04.020 --> 13:05.020]  A czterdzieści?
[13:05.020 --> 13:06.020]  Czterdzieści.
[13:06.020 --> 13:11.020]  Czterdzieści.
[13:11.020 --> 13:15.020]  Świetnie, świetnie, świetnie, świetnie. Tak, jest.
[13:15.020 --> 13:18.020]  To jest za dużo.
[13:18.020 --> 13:23.020]  To jest sześćdziesiąt.
[13:23.020 --> 13:27.020]  A my czterdzieści.
[13:27.020 --> 13:44.420]  Dzień dobry, proszę bardzo. 40. Nie ma. To proszę teraz, Panie Brakuje, 10. Kto ma 10? Proszę bardzo.
[13:44.420 --> 14:03.920]  Wow, jest 40. Dobrze, dobrze. Ok, to poproszę dla Pana, dobrze? Dla Pana. Sponsorium dla Pana. Dajmy co? Proszę.
[14:03.920 --> 14:12.320]  Proszę. Już jest Pan bogaty. Bogaty z rich. Już.
[14:12.320 --> 14:14.320]  O, jaka bogata.
[14:14.420 --> 14:27.420]  Gotówka idzie do Pana. Proszę bardzo. Świetnie. To poproszę teraz, poproszę 700. 700.
[14:27.420 --> 14:40.420]  700. 700. O, Pan wszystko dał. Jest 70. O, że jest 70. Potrzebujemy 700. 700.
[14:40.420 --> 14:44.420]  Dobrze. I teraz Pan może zapytać.
[14:44.420 --> 14:49.420]  Czy masz dla mnie, czy masz dla mnie, czy masz dla mnie...
[14:49.420 --> 14:53.420]  A co? Czy masz dla mnie pieniądze?
[14:53.420 --> 14:54.420]  Mhm.
[14:54.420 --> 14:55.420]  How?
[14:55.420 --> 14:58.420]  Czy masz? Do you have for me money?
[14:58.420 --> 15:00.420]  O, 700.
[15:00.420 --> 15:06.420]  Stamtych, stamtych. Tu, tu, tu. From the another money. Pan nie ma nic.
[15:06.420 --> 15:13.420]  I Pan pyta, ile chcesz? Moment, moment. Ile chcesz? Ile chcesz? Ile potrzebujesz?
[15:13.420 --> 15:15.420]  How much do you want? How much do you want? How much do you want?
[15:15.420 --> 15:21.420]  Ile chcesz? Tak, ile chcesz? Ile chcesz?
[15:21.420 --> 15:25.420]  600. 600? 600?
[15:25.420 --> 15:29.420]  Szerzszo jest. No, dużo.
[15:29.420 --> 15:38.420]  I teraz moment. Pan może powiedzieć. Mogę 300. Mogę 300? Tak, mogę 300 Ci dać.
[15:38.420 --> 15:41.420]  300. So like I only have 400.
[15:41.420 --> 15:44.420]  You need more, but you... O, proszę.
[15:44.420 --> 15:45.420]  Ok, ok.
[15:45.420 --> 15:47.420]  All right.
[15:47.420 --> 15:49.420]  To 200, 300.
[15:49.420 --> 15:51.420]  No to już 300.
[15:51.420 --> 15:53.420]  300?
[15:53.420 --> 15:56.420]  To jest chyba 600.
[15:56.420 --> 16:02.420]  To jest 200, 400, 600. To jest 600.
[16:02.420 --> 16:05.420]  A on chce tylko 300.
[16:05.420 --> 16:06.420]  300?
[16:06.420 --> 16:07.420]  300.
[16:07.420 --> 16:08.420]  300, tak.
[16:08.420 --> 16:09.420]  300.
[16:09.420 --> 16:10.420]  300.
[16:10.420 --> 16:11.420]  Tak, 300.
[16:11.420 --> 16:12.420]  300.
[16:12.420 --> 16:13.420]  300, yes.
[16:13.420 --> 16:15.420]  Ile Pan już ma?
[16:15.420 --> 16:16.420]  Ile Pan już ma?
[16:16.420 --> 16:18.420]  Tak. Ile Pan już ma?
[16:18.420 --> 16:19.420]  How much do I have now?
[16:19.420 --> 16:21.420]  How much do I have now?
[16:21.420 --> 16:24.420]  Produkuję. Pan sponsor. Pan sponsor. Ile?
[16:24.420 --> 16:26.420]  600?
[16:26.420 --> 16:28.420]  Tak, 700.
[16:28.420 --> 16:29.420]  700?
[16:29.420 --> 16:30.420]  700.
[16:30.420 --> 16:38.420]  Brawo. 700, brawo. Tak. Ok. To teraz poproszę 50.
[16:38.420 --> 16:39.420]  50.
[16:39.420 --> 16:40.420]  50.
[16:40.420 --> 16:45.420]  50. Tak jest. 50. Wszyscy mamy 50.
[16:45.420 --> 16:55.420]  50. Tak. Może tak. To jest 50. Dobrze. I Pan 50.
[16:55.420 --> 16:59.420]  Pan, Pan, Pan, Pan, Pan, Pan. 50.
[16:59.420 --> 17:00.420]  50.
[17:00.420 --> 17:02.420]  50. Tak. 50.
[17:02.420 --> 17:03.420]  50.
[17:03.420 --> 17:07.420]  To jest 5. A my potrzebujemy 50.
[17:07.420 --> 17:08.420]  50?
[17:08.420 --> 17:09.420]  50.
[17:09.420 --> 17:10.420]  50.
[17:10.420 --> 17:11.420]  50.
[17:11.420 --> 17:12.420]  50.
[17:12.420 --> 17:13.420]  50.
[17:13.420 --> 17:14.420]  50.
[17:14.420 --> 17:15.420]  50.
[17:15.420 --> 17:16.420]  50.
[17:16.420 --> 17:17.420]  50.
[17:17.420 --> 17:18.420]  50.
[17:18.420 --> 17:19.420]  50.
[17:19.420 --> 17:20.420]  50.
[17:20.420 --> 17:21.420]  50.
[17:21.420 --> 17:22.420]  50.
[17:22.420 --> 17:23.420]  50.
[17:23.420 --> 17:24.420]  50.
[17:24.420 --> 17:29.420]  O właśnie. Tak. To jest 50. Tak. To jest 50.
[17:29.420 --> 17:34.420]  And you also can read this number here, prawda?
[17:34.420 --> 17:36.420]  Proszę popatrzeć. Tu jest też 50.
[17:36.420 --> 17:37.420]  50.
[17:37.420 --> 17:38.420]  50.
[17:38.420 --> 17:44.420]  Jest 50. Jest 50. Tak. Jest 50.
[17:44.420 --> 17:57.420]  Świetnie.  
[17:57.420 --> 18:01.420]  A teraz zapiszemy sobie to.
[18:01.420 --> 18:05.420]  Czyli jak słuchajcie mamy cały system.
[18:05.420 --> 18:08.420]  I mamy 1.
[18:08.420 --> 18:10.420]  I mamy 1.
[18:10.420 --> 18:12.420]  To tu jest 11.
[18:12.420 --> 18:15.420]  Tu mamy 2.
[18:15.420 --> 18:16.420]  12.
[18:16.420 --> 18:17.420]  12. Super.
[18:17.420 --> 18:20.420]  I 20.
[18:20.420 --> 18:26.420]  I 200.
[18:26.420 --> 18:33.420]  Czyli 2 jest to, to, to i to.
[18:33.420 --> 18:34.420]  Different endings.
[18:34.420 --> 18:38.420]  No to teraz to jest?
[18:38.420 --> 18:39.420]  3.
[18:39.420 --> 18:40.420]  3.
[18:40.420 --> 18:41.420]  13.
[18:41.420 --> 18:42.420]  Super.
[18:42.420 --> 18:43.420]  40.
[18:43.420 --> 18:46.420]  I nie 40. 40 to jest to.
[18:46.420 --> 18:47.420]  30.
[18:47.420 --> 18:48.420]  30.
[18:48.420 --> 18:49.420]  30.
[18:49.420 --> 18:52.420]  Czyli mamy to, popatrzcie to.
[18:52.420 --> 18:53.420]  3.
[18:53.420 --> 18:54.420]  3.
[18:54.420 --> 18:55.420]  13.
[18:55.420 --> 18:56.420]  30.
[18:56.420 --> 18:57.420]  I tu?
[18:57.420 --> 18:58.420]  300.
[18:58.420 --> 18:59.420]  300.
[18:59.420 --> 19:00.420]  300.
[19:00.420 --> 19:02.420]  Świetnie. No to teraz to jest 30.
[19:02.420 --> 19:03.420]  30.
[19:03.420 --> 19:04.420]  No to teraz to jest?
[19:04.420 --> 19:08.420]  Co to jest?
[19:08.420 --> 19:09.420]  4.
[19:09.420 --> 19:10.420]  4.
[19:10.420 --> 19:11.420]  To jest 4.
[19:11.420 --> 19:12.420]  4.
[19:12.420 --> 19:13.420]  To jest?
[19:13.420 --> 19:15.420]  14.
[19:15.420 --> 19:17.420]  Tak. To jest 14.
[19:17.420 --> 19:19.420]  To jest?
[19:19.420 --> 19:22.420]  To jest 40.
[19:22.420 --> 19:24.420]  30.
[19:24.420 --> 19:26.420]  40.
[19:26.420 --> 19:28.420]  The same ending.
[19:28.420 --> 19:29.420]  I tu?
[19:29.420 --> 19:32.420]  700.
[19:32.420 --> 19:52.420]  400. Tak jest. I znowu razem 300, 400. Tak jest. 300, 400 razem. No to teraz uwaga. To jest 5. To jest 15.
[19:52.420 --> 20:10.700]  15. To jest na 15. Tu? 50. Super. Czyli 5 i 50. I tu? 500. 500. I startujemy. Teraz będzie 100, 100, 100, 100.
[20:10.700 --> 20:22.400]  Czyli 6, 16, 60. Bo startujemy 50, 60.
[20:22.420 --> 20:32.420]  60, 70, 80 i 600. Tak. 500, 600. No to tu.
[20:32.420 --> 20:50.420]  17. 17. Tu jest 10. 70. I tu jest 100. 700. 700.
[20:50.420 --> 20:52.420]  To 8.
[20:52.420 --> 20:54.420]  8. 18.
[20:54.420 --> 21:04.420]  Tu mamy 10. 80 i 100. 800. Świetnie. 9.
[21:04.420 --> 21:10.420]  19. 900.
[21:10.420 --> 21:15.420]  Nie. Tu jest 90. 90.
[21:15.420 --> 21:20.420]  900. Brawo. I idziemy do 1000. No to słuchajcie. To będzie nasze teraz zadanie.
[21:20.420 --> 21:32.420]  Będziemy sobie tu pisać. Bo jeden to jest rozumiem, a drugie to jeszcze muszę sobie zapisać.
[21:32.420 --> 21:36.420]  Proszę bardzo. Proszę bardzo. Tu jeszcze jest ona.
[21:36.420 --> 21:48.420]  Ta. Proszę. Wszyscy mamy? Wszyscy mamy. Świetnie. Wszyscy mają. I słuchajcie. Jesteśmy tu. Ta strona. Wyspę.
[21:48.420 --> 21:53.420]  I co my mamy? Mamy tę sytuację.
[21:53.420 --> 22:00.420]  2. 12. I tu musimy napisać 2... Co musimy napisać? 20. Popatrzcie. 20.
[22:00.420 --> 22:12.420]  20. 20. 20.
[22:12.420 --> 22:16.420]  20. 20. 20. 20. 20. 20.
[22:16.420 --> 22:27.660]  20. Tu piszemy wszyscy tu. Tu, tu, tu, tu, tu, tu, tu, tu, tu, tu. Dobrze? Tu piszemy 20.
[22:27.660 --> 22:34.100]  Pan jest na dobrej stronie? Myślę, że pan nie jest na dobrej stronie.
[22:34.100 --> 22:36.180]  Pokażcie nam to.
[22:36.180 --> 22:38.180]  Proste.
[22:38.180 --> 22:40.180]  Obrotnie.
[22:40.180 --> 22:44.180]  O właśnie, tak, tak, tak, tak.
[22:44.180 --> 22:46.180]  20.
[22:46.180 --> 22:48.180]  I tu było?
[22:48.180 --> 22:52.180]  200.
[22:52.180 --> 23:01.180]  200. Tak, słuchajcie, to jest nie całe słowo dwa, tylko dwieście.
[23:01.180 --> 23:03.180]  Dwieście.
[23:03.180 --> 23:11.180]  Czasami, jeśli wiesz jak się kreować, to pamiętasz też to słowo dwieście.
[23:11.180 --> 23:13.180]  Dwieście.
[23:13.180 --> 23:15.180]  Dwadzieścia.
[23:15.180 --> 23:16.180]  Dwa.
[23:16.180 --> 23:17.180]  Dwanaście.
[23:17.180 --> 23:19.180]  Dwa.
[23:19.180 --> 23:22.180]  No to teraz będziemy tu.
[23:22.180 --> 23:25.180]  Piszemy sobie trzy.
[23:25.180 --> 23:27.180]  Tak.
[23:27.180 --> 23:29.180]  Trzy.
[23:29.180 --> 23:30.180]  Trzy.
[23:30.180 --> 23:32.180]  Następnie jest trzy.
[23:32.180 --> 23:33.180]  Trzynaście.
[23:33.180 --> 23:34.180]  Super.
[23:34.180 --> 23:37.180]  Czyli here the ending naście.
