[00:00.000 --> 00:02.000]  Inna opcja?
[09:27.760 --> 09:30.280]  Będziemy słuchać rozmowy.
[09:30.440 --> 09:33.920]  Będzie rozmawiają dwie osoby.
[09:34.140 --> 09:35.480]  Ania i Andrzej.
[09:35.880 --> 09:41.100]  I mówią co będą robić w różne dni tygodnia.
[09:42.020 --> 09:47.700]  So they will talk about their plans for the every day in the week.
[09:48.880 --> 09:49.760]  Proszę.
[09:49.760 --> 09:49.880]  Proszę.
[09:50.000 --> 09:53.200]  Posłuchać i uzupełnić kalendarz.
[09:53.480 --> 09:58.660]  Czyli co robi Ania we środę, czwartek, piątek i niedzielę.
[09:59.240 --> 10:03.800]  I co robi Andrzej we wtorek, środę i piątek.
[10:03.800 --> 10:06.800]  Już to znajdę.
[10:06.800 --> 10:07.180]  Tak.
[10:07.180 --> 10:07.740]  Tak.
[10:07.740 --> 10:07.940]  Tak.
[10:08.100 --> 10:08.380]  Tak.
[10:08.380 --> 10:08.420]  Tak.
[10:18.180 --> 10:22.980]  Tak.
[10:23.120 --> 10:23.560]  Tak.
[10:23.560 --> 10:23.760]  Tak.
[10:32.640 --> 10:33.460]  Tak.
[10:33.460 --> 10:34.080]  Tak.
[10:34.080 --> 10:34.140]  Tak.
[10:34.860 --> 10:35.200]  Tak.
[10:35.320 --> 10:35.660]  Tak.
[10:35.760 --> 10:36.040]  Tak.
[10:36.380 --> 10:36.480]  Tak.
[10:36.800 --> 10:36.940]  Tak.
[10:36.940 --> 10:45.940]  No cóż...
[11:06.940 --> 11:07.440]  Z czego?
[11:07.440 --> 11:08.940]  Jak to? Nie wiesz?
[11:08.940 --> 11:11.940]  A tak, Ty nie wiesz, że chodzę na kurs francuskiego.
[11:11.940 --> 11:13.440]  W środę mam ostatnią lekcję.
[11:13.440 --> 11:14.940]  A kiedy masz egzamin?
[11:14.940 --> 11:15.440]  W czwartek.
[11:15.440 --> 11:16.940]  Dla Ciebie to nie problem.
[11:16.940 --> 11:18.440]  Mówisz średnio po francusku.
[11:18.440 --> 11:21.940]  Tak, mówić umiem, ale wiesz, że mam problemy z gramatyką.
[11:21.940 --> 11:23.940]  A Ty? Co robisz w tym tygodniu?
[11:23.940 --> 11:26.940]  W poniedziałek spotykam się z kolegą ze studiów.
[11:26.940 --> 11:28.940]  Na wtorek nie mam konkretnego planu.
[11:28.940 --> 11:32.940]  W środę pracuję po południu, w czwartek wieczorem idę z Tomkiem na basen.
[11:32.940 --> 11:33.940]  A właśnie, a propos Tomka.
[11:33.940 --> 11:36.440]  Idziemy w piątek na eskotekę. Idziesz z nami?
[11:36.440 --> 11:37.940]  Idą też Wojtek i brata.
[11:37.940 --> 11:39.440]  W piątek to niemożliwe.
[11:39.440 --> 11:40.440]  Dlaczego nie?
[11:40.440 --> 11:42.440]  Bo w sobotę rano jadę do Poznania.
[11:42.440 --> 11:45.440]  A poza tym w piątek wieczorem spotykam się z babcią.
[11:45.440 --> 11:49.440]  No nie, w piątek wieczorem z babcią, w sobotę rano pracujesz.
[11:49.440 --> 11:50.940]  No nie, ta Twoja praca.
[11:50.940 --> 11:52.940]  Zawsze gdzieś jeździsz i jeździsz.
[11:52.940 --> 11:55.940]  Do Warszawy, do Poznania, nie wiem dokąd jeszcze.
[11:55.940 --> 11:56.940]  Nie rozumiem.
[11:56.940 --> 11:59.940]  No wiesz, dlaczego jesteś taki niemiły?
[11:59.940 --> 12:01.940]  Moja babcia ma w piątek urodziny.
[12:01.940 --> 12:03.940]  A ta praca jest dla mnie ważna.
[12:03.940 --> 12:05.440]  No dobrze, przepraszam.
[12:05.440 --> 12:06.440]  Ale wiesz, że babcia ma w piątek urodziny.
[12:06.440 --> 12:09.440]  Bardzo lubię chodzić z Tobą na dyskotekę, bo świetnie tańczysz.
[12:09.440 --> 12:10.940]  A masz już plany na niedzielę?
[12:10.940 --> 12:11.940]  Masz czas?
[12:11.940 --> 12:13.440]  Nie mam jeszcze planu.
[12:13.440 --> 12:15.440]  Jadę ze znajomymi do Zakopanego.
[12:15.440 --> 12:16.440]  Jedziesz z nami?
[12:16.440 --> 12:17.440]  A czym jedziecie?
[12:17.440 --> 12:19.440]  Pociągiem czy autobusem?
[12:19.440 --> 12:20.940]  Pociągiem to bez sensu.
[12:20.940 --> 12:23.440]  Jedziemy albo autobusem, albo samochodem.
[12:23.440 --> 12:26.440]  Jeszcze nie wiemy, ale jedziemy bardzo wcześnie rano, przed siódmą.
[12:26.440 --> 12:27.440]  To co?
[12:27.440 --> 12:28.440]  Jedziesz z nami?
[12:30.440 --> 12:31.440]  Dobra, jeszcze raz.
[12:31.440 --> 12:32.440]  Zróbmy pas.
[12:32.440 --> 12:33.440]  Jeszcze raz.
[12:33.440 --> 12:34.440]  Zróbmy pas.
[12:36.440 --> 12:37.440]  Bardzo szybko.
[12:37.440 --> 12:38.440]  Bardzo szybko.
[12:38.440 --> 12:39.440]  Bardzo szybko.
[12:39.440 --> 12:40.440]  Nie mogę zmolnić niestety.
[12:41.440 --> 12:43.440]  Dobra, posłuchamy jeszcze raz.
[12:43.440 --> 12:46.440]  I jak będzie potrzeba, to jeszcze raz, ale może bardzo starczy.
[12:56.440 --> 12:57.440]  Słucham.
[12:57.440 --> 12:59.440]  Cześć, mówi Andrzej. Co u Ciebie?
[12:59.440 --> 13:00.440]  Jestem bardzo zmęczona.
[13:00.440 --> 13:01.440]  Dlaczego?
[13:01.440 --> 13:02.440]  Trochę za dużo pracuję.
[13:02.440 --> 13:04.440]  Na przykład w poniedziałek jadę do Warszawy.
[13:04.440 --> 13:06.440]  Na wtorek uczę się na egzaminach.
[13:06.440 --> 13:07.440]  Do egzaminu?
[13:07.440 --> 13:08.440]  Z czego?
[13:08.440 --> 13:09.440]  Ja co?
[13:09.440 --> 13:10.440]  Nie wiesz?
[13:10.440 --> 13:11.440]  A tak, Ty nie wiesz, że chodzę na kurs francuskiego.
[13:11.440 --> 13:12.440]  W środę mam ostatnią lekcję.
[13:12.440 --> 13:13.440]  A kiedy masz egzamin?
[13:13.440 --> 13:14.440]  W czwartek.
[13:14.440 --> 13:15.440]  Dla Ciebie to nie problem.
[13:15.440 --> 13:16.440]  Mówisz świetnie po francusku.
[13:16.440 --> 13:17.440]  Tak, mówić mówię, ale wiesz, że mam problemy z gramatyką.
[13:17.440 --> 13:18.440]  A Ty?
[13:18.440 --> 13:19.440]  Co robisz w tym tygodniu?
[13:19.440 --> 13:20.440]  W poniedziałek spotykam się z kolegą ze studiów.
[13:20.440 --> 13:21.440]  Na wtorek nie mam konkretnego planu.
[13:21.440 --> 13:22.440]  W środę pracuję po południu, w czwartek wieczorem idę stąpić nad basem.
[13:22.440 --> 13:23.440]  A właśnie, a propos Tomka.
[13:23.440 --> 13:24.440]  Idziemy w piątek z medzgotekę.
[13:24.440 --> 13:25.440]  Idziesz z nami?
[13:25.440 --> 13:26.440]  Idą też Wojtek i Beata.
[13:26.440 --> 13:27.440]  W piątek to niemożliwe.
[13:27.440 --> 13:28.440]  Dlaczego nie?
[13:28.440 --> 13:29.440]  Bo w sobotę rano jadę do Poznania.
[13:29.440 --> 13:30.440]  A poza tym w piątek wieczorem spotykam się z babcią.
[13:30.440 --> 13:31.440]  No nie, w piątek wieczorem z babcią, w sobotę rano pracujesz.
[13:31.440 --> 13:32.440]  No nie, to Twoja praca.
[13:32.440 --> 13:33.440]  Zawsze gdzieś jeździsz i jeździsz.
[13:33.440 --> 13:34.440]  Do fabryki, do szpitala, do szpitala, do szpitala, do szpitala, do szpitala, do szpitala,
[13:34.440 --> 13:35.440]  nie wiem dokąd jeszcze, nie rozumiem.
[13:35.440 --> 13:36.440]  No wiesz, dlaczego jesteś taki niemiły, moja babcia ma w piątek urodziny.
[13:36.440 --> 13:37.440]  A ta praca jest dla mnie ważna.
[13:37.440 --> 13:38.440]  Somebody's have a problem.
[13:38.440 --> 13:39.440]  Wash your hands.
[13:39.440 --> 13:40.440]  No em, no in could very bad.
[13:40.440 --> 13:41.440]  I a lot to your bio rec pads.
[13:41.440 --> 13:42.440]  Amazing little needs are cools.
[13:42.440 --> 13:43.440]  Oh mija Kakiv.
[13:43.440 --> 13:44.440]  Inny labour Lawrence.
[13:44.440 --> 13:45.260]  Anyone who does uroku
[13:45.260 --> 13:46.260]  Aunque to konfiguracja co ma cię rozlaźć?
[13:46.260 --> 13:47.260]  entrevpy to Reclai Mila Tomikowicz.
[13:47.260 --> 13:48.260]  Inna galerii to auta Fashion nights.
[13:48.260 --> 13:49.260]  We are the best of Asia.
[13:49.260 --> 13:50.260]  To się gram pod paw Stone electric.
[13:50.260 --> 13:51.260]  I копia했는데 to Пред스타ł Today.
[13:51.260 --> 13:55.540]  Idziemy, r �ngkowicze roarosze nam grewdy Bad Karst
[13:55.540 --> 14:25.520]  Nie rozumiem.
[14:25.540 --> 14:34.440]  No i jak?
[14:36.440 --> 14:37.220]  Coś tam mamy?
[14:38.240 --> 14:38.580]  Something.
[14:39.080 --> 14:39.960]  Something.
[14:40.680 --> 14:41.840]  Coś tam, dobra.
[14:45.400 --> 14:47.540]  To w poniedziałek
[14:48.300 --> 14:49.920]  Ania jedzie do Warszawy.
[14:50.100 --> 14:52.200]  We wtorek uczy się do egzaminu.
[14:52.280 --> 14:53.780]  A co robi w środę?
[14:53.780 --> 14:54.780]  Ostatni.
[14:55.540 --> 14:58.180]  Ostatnia lekcja dla francuskich.
[14:58.760 --> 15:00.940]  Ostatnia lekcja ze francuskiego.
[15:00.960 --> 15:01.720]  Ze francuskiego.
[15:01.740 --> 15:04.520]  Czyli Ania ma ostatni lek z francuskiego.
[15:04.760 --> 15:06.540]  A co robi w czwartek?
[15:07.640 --> 15:09.100]  Ania ma egzamin.
[15:09.400 --> 15:10.020]  Egzamin.
[15:10.600 --> 15:12.800]  A co robi w piątek?
[15:14.740 --> 15:15.460]  Ania
[15:15.460 --> 15:18.540]  jadę do Poznań.
[15:20.160 --> 15:21.520]  To sobota?
[15:21.520 --> 15:23.380]  To sobota? Nie wiem.
[15:24.920 --> 15:25.380]  Spod?
[15:25.540 --> 15:27.540]  Spotyka się z babcią.
[15:27.540 --> 15:28.540]  Spotyka się z babcią.
[15:28.540 --> 15:29.540]  Aha.
[15:29.540 --> 15:31.540]  Spotyka się z babcią.
[15:31.540 --> 15:32.540]  Okej.
[15:32.540 --> 15:35.540]  W piątek Ania spotyka się z babcią.
[15:35.540 --> 15:37.540]  A dlaczego spotyka się z babcią?
[15:37.540 --> 15:39.540]  Nie wiem.
[15:39.540 --> 15:41.540]  Bo babcia ma urodziny.
[15:41.540 --> 15:43.540]  Okej.
[15:43.540 --> 15:45.540]  Babcia ma urodziny.
[15:45.540 --> 15:47.540]  Dobra.
[15:47.540 --> 15:49.540]  W sobotę Ania jedzie do Poznania.
[15:49.540 --> 15:51.540]  A co robi w niedzielę?
[15:51.540 --> 15:53.540]  A co robi w niedzielę?
[15:53.540 --> 15:54.540]  Nie wiem.
[15:54.540 --> 15:56.540]  Nie wiem.
[15:56.540 --> 15:58.540]  Najpierw nie ma planu.
[15:58.540 --> 16:00.540]  Nie ma planu jeszcze?
[16:00.540 --> 16:01.540]  Spotyka się z babcią.
[16:01.540 --> 16:04.540]  A potem zdecyduje się spotkać się razem?
[16:04.540 --> 16:05.540]  Może, może.
[16:05.540 --> 16:09.540]  Andrzej zaprosił Anię do Zakopanego.
[16:09.540 --> 16:11.540]  Andrzej jedzie do Zakopanego.
[16:11.540 --> 16:13.540]  To jest miasto w górach.
[16:13.540 --> 16:17.540]  I pyta się, czy Ania chce jechać z nimi.
[16:17.540 --> 16:20.540]  A Ania mówi, że może.
[16:20.540 --> 16:23.540]  Bo nie ma planów na niedzielę.
[16:23.540 --> 16:27.540]  Ania mówi, że może, bo ona będzie tam i będzie tam.
[16:27.540 --> 16:29.540]  A nie ma planów.
[16:29.540 --> 16:31.540]  No dobrze. Okej.
[16:31.540 --> 16:32.540]  Czyli Ania wie.
[16:32.540 --> 16:34.540]  A co robi Andrzej?
[16:34.540 --> 16:37.540]  Andrzej w poniedziałek spotyka się z kolegą.
[16:37.540 --> 16:39.540]  A we wtorek?
[16:39.540 --> 16:41.540]  Nie ma planów.
[16:41.540 --> 16:43.540]  Nie ma planów.
[16:43.540 --> 16:45.540]  A co Andrzej robi w środę?
[16:45.540 --> 16:47.540]  Pracuje.
[16:47.540 --> 16:49.540]  Pracuje. W środę do południa pracuje.
[16:49.540 --> 16:51.540]  A w czwartek idzie z Tomkiem na basen.
[16:51.540 --> 16:53.540]  Idzie z Tomkiem na basen.
[16:53.540 --> 16:55.540]  A w piątek?
[16:55.540 --> 16:59.540]  Spotykam się brata... bratą...
[16:59.540 --> 17:00.540]  Z bratem.
[17:00.540 --> 17:01.540]  Z bratem.
[17:01.540 --> 17:02.540]  Z bratem.
[17:02.540 --> 17:04.540]  Z bratem się spotyka w piątek?
[17:04.540 --> 17:05.540]  Tak.
[17:13.540 --> 17:15.540]  Whatever.
[17:15.540 --> 17:18.540]  A gdzie idą?
[17:18.540 --> 17:20.540]  Where they are going?
[17:21.540 --> 17:23.540]  W piątek.
[17:23.540 --> 17:26.540]  I have to idzie, but...
[17:26.540 --> 17:29.540]  I can not hear.
[17:29.540 --> 17:30.540]  Dobra.
[17:30.540 --> 17:33.540]  To spróbujemy drugi kawałek jeszcze.
[17:33.540 --> 17:35.540]  Nie wiem, czy spotyka się z bratem.
[17:35.540 --> 17:38.540]  Chyba spotyka się z kim innym.
[17:38.540 --> 17:40.540]  To chyba nie jest brat.
[17:40.540 --> 17:43.540]  Dobra, to spróbujmy ten fragment znaleźć.
[17:43.540 --> 17:46.540]  Poza tym w piątek wieczorem spotykam się z babcią.
[17:46.540 --> 17:47.540]  No, no.
[17:47.540 --> 17:49.540]  Dobra, dobra, prawie.
[17:49.540 --> 17:50.540]  Czarnego planu.
[17:50.540 --> 17:52.540]  Światem pracuję po południu.
[17:52.540 --> 17:54.540]  W piątek wieczorem idę z Tomkiem na basen.
[17:54.540 --> 17:55.540]  A właśnie a propos Tomka.
[17:55.540 --> 17:57.540]  Idziemy w piątek na dyskotekę.
[17:57.540 --> 17:58.540]  Idziemy z nami?
[17:58.540 --> 17:59.540]  Idą też Wojtek i brata?
[17:59.540 --> 18:00.540]  W piątek to niemożliwe.
[18:00.540 --> 18:01.540]  Dlaczego nie?
[18:01.540 --> 18:02.540]  Bo w sobotę rano.
[18:02.540 --> 18:04.540]  Dobra, wiemy, że idą.
[18:04.540 --> 18:06.540]  To bardzo niewyraźnie słychać.
[18:06.540 --> 18:09.540]  Idą na dyskotekę.
[18:09.540 --> 18:10.540]  Dyskoteka.
[18:10.540 --> 18:11.540]  Ok.
[18:11.540 --> 18:12.540]  Dysko.
[18:12.540 --> 18:13.540]  The club.
[18:13.540 --> 18:14.540]  Something.
[18:14.540 --> 18:15.540]  Ok.
[18:15.540 --> 18:18.540]  I idzie Andrzej z Tomkiem.
[18:18.540 --> 18:21.540]  A idzie jeszcze Wojtek i Beat.
[18:21.540 --> 18:23.540]  Czyli jakieś jeszcze dwie inne osoby.
[18:23.540 --> 18:24.540]  Ok.
[18:24.540 --> 18:27.540]  Czyli w piątek Andrzej idzie na dyskotekę.
[18:27.540 --> 18:29.540]  W sobotę nie ma planu.
[18:29.540 --> 18:32.540]  A w niedzielę jedzie do Zachodmanego.
[18:32.540 --> 18:34.540]  Z kimś.
[18:34.540 --> 18:37.540]  I zaprasza też Anię.
[18:37.540 --> 18:41.540]  No dobrze.
[18:48.540 --> 18:49.540]  Ok.
[18:49.540 --> 18:52.540]  Zobaczmy zadanie 5c.
[18:52.540 --> 18:53.540]  Trochę niżej.
[18:53.540 --> 18:56.540]  Będziemy słuchać jeszcze raz.
[18:56.540 --> 19:05.540]  I teraz chcemy znaleźć odpowiedź, czy te zdania są prawdziwe, czy nieprawdziwe.
[19:05.540 --> 19:12.540]  So we are going to listen again and we want to find the answer if this sentence is true or false.
[19:12.540 --> 19:14.540]  Mamy tu sześć zdań.
[19:14.540 --> 19:16.540]  To słuchamy jeszcze raz.
[19:16.540 --> 19:17.540]  Trzy.
[19:17.540 --> 19:19.540]  Ciaaaaaaam.
[19:19.540 --> 19:22.540]  Lekcja siódma, ćwiczenie 5A.
[19:26.540 --> 19:27.540]  Słucham.
[19:27.540 --> 19:28.540]  Cześć, mówi Andrzej.
[19:28.540 --> 19:29.540]  Co u ciebie?
[19:29.540 --> 19:30.540]  Jestem bardzo zmęczona.
[19:30.540 --> 19:31.540]  Dlaczego?
[19:31.540 --> 19:32.540]  Trochę za dużo pracuję.
