"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Ja mam ten.
[03:54.000 --> 03:56.000]  a photocopy, right? Mhm.
[03:56.000 --> 03:58.000]  So how would I say to prepare?
[03:58.000 --> 04:00.000]  To could be simply robiba.
[04:00.000 --> 04:02.000]  Robiba? Mhm.
[04:02.000 --> 04:04.000]  Robiba is
[04:04.000 --> 04:06.000]  to do, right? Tak.
[04:06.000 --> 04:08.000]  But si goto wybawa jest...
[04:08.000 --> 04:10.000]  Okej.
[04:12.000 --> 04:14.000]  Okej.
[04:14.000 --> 04:16.000]  W piątek
[04:16.000 --> 04:18.000]  Katarzyna spotykał się
[04:18.000 --> 04:20.000]  z Robert, dokładło
[04:20.000 --> 04:22.000]  oś wstej.
[04:22.000 --> 04:24.000]  Jeszcze raz.
[04:24.000 --> 04:26.000]  W piątek Katarzyna
[04:26.000 --> 04:28.000]  spotykał się
[04:28.000 --> 04:30.000]  z Robert,
[04:30.000 --> 04:32.000]  oj.
[04:32.000 --> 04:34.000]  Spotkała,
[04:34.000 --> 04:36.000]  nie spotykała,
[04:36.000 --> 04:38.000]  tylko spotkała,
[04:38.000 --> 04:40.000]  aha, się
[04:40.000 --> 04:42.000]  z
[04:44.000 --> 04:46.000]  Roberta
[04:48.000 --> 04:50.000]  z Jogodmy, tak?
[04:50.000 --> 04:52.000]  Na Rzeczpospolitej.
[04:52.000 --> 04:54.000]  Na Rzeczpospolitej.
[04:54.000 --> 04:56.000]  Na Rzeczpospolitej jest
[04:56.000 --> 04:58.000]  ten
[04:58.000 --> 05:00.000]  z Robertem.
[05:04.000 --> 05:06.000]  Robert.
[05:18.000 --> 05:20.000]  Robert.
[05:20.000 --> 05:22.000]  Robertem.
[05:22.000 --> 05:24.000]  Aha.
[05:24.000 --> 05:26.000]  Z Robertem.
[05:26.000 --> 05:28.000]  Do klubu
[05:28.000 --> 05:30.000]  o 6.
[05:30.000 --> 05:32.000]  Ona idzie
[05:32.000 --> 05:34.000]  do, ale
[05:34.000 --> 05:36.000]  spotyka się w.
[05:36.000 --> 05:38.000]  To jest on jedyny klubu?
[05:38.000 --> 05:40.000]  10 dzień chyba idzie.
[05:40.000 --> 05:42.000]  W piątek.
[05:42.000 --> 05:44.000]  W piątek.
[05:44.000 --> 05:46.000]  Przejdzie do klubu,
[05:46.000 --> 05:48.000]  przyjdąc w sam raz.
[05:50.000 --> 05:52.000]  No, ona idzie do klubu.
[05:56.000 --> 05:58.000]  Kasia i Robert idą razem, prawda?
[05:58.000 --> 06:00.000]  Mhm.
[06:00.000 --> 06:02.000]  Więc, jeśli
[06:02.000 --> 06:04.000]  Robert idzie do klubu jazzu
[06:04.000 --> 06:06.000]  z Kasią, to Kasia też idzie do klubu jazzu
[06:06.000 --> 06:08.000]  z... Okej, możesz
[06:08.000 --> 06:10.000]  napisać na koncert. Okej, okej.
[06:10.000 --> 06:12.000]  Okej. Dobrze, dobrze.
[06:12.000 --> 06:14.000]  Dobrze.
[06:14.000 --> 06:16.000]  Na koncert, okej. Na koncert, aha.
[06:16.000 --> 06:18.000]  Ale spotkała...
[06:18.000 --> 06:20.000]  Spotkała...
[06:20.000 --> 06:22.000]  Czy możesz powtórzyć to z... w?
[06:22.000 --> 06:24.000]  Spotkała się
[06:24.000 --> 06:26.000]  z Robertem
[06:26.000 --> 06:28.000]  w...
[06:28.000 --> 06:30.000]  klubie,
[06:30.000 --> 06:32.000]  ale idą
[06:32.000 --> 06:34.000]  do
[06:34.000 --> 06:36.000]  klubu.
[06:36.000 --> 06:38.000]  Okej.
[06:38.000 --> 06:40.000]  O 6.
[06:42.000 --> 06:44.000]  Bo tutaj mamy
[06:44.000 --> 06:46.000]  wersję akcji, ruchu.
[06:46.000 --> 06:48.000]  A tutaj jest tak...
[06:48.000 --> 06:50.000]  ... idzie.
[06:50.000 --> 06:52.000]  Done.
[06:52.000 --> 06:54.000]  Dobra.
[06:54.000 --> 06:56.000]  Okej, tutaj rzeczywiście. Na koncert pójdziemy.
[06:56.000 --> 06:58.000]  Mhm. Sobotę?
[06:58.000 --> 07:00.000]  W sobotę Katarzyna
[07:00.000 --> 07:02.000]  oglądała film w
[07:02.000 --> 07:04.000]  kinie z Magdy.
[07:04.000 --> 07:06.000]  Prawie?
[07:06.000 --> 07:08.000]  Okej.
[07:08.000 --> 07:10.000]  Oglądała film
[07:10.000 --> 07:12.000]  w
[07:12.000 --> 07:14.000]  kinie z...
[07:14.000 --> 07:16.000]  Kinie...
[07:18.000 --> 07:20.000]  ... z Magdy. Mhm.
[07:20.000 --> 07:22.000]  Dobra.
[07:22.000 --> 07:24.000]  Na co z nim?
[07:24.000 --> 07:26.000]  Magdą. Magdą. Dobra.
[07:26.000 --> 07:28.000]  Okej. Kinie z Magdą.
[07:28.000 --> 07:30.000]  I niedziela.
[07:30.000 --> 07:32.000]  W niedziela Katarzyna jadła
[07:32.000 --> 07:34.000]  obiad...
[07:34.000 --> 07:36.000]  ...
[07:36.000 --> 07:38.000]  ...
[07:38.000 --> 07:40.000]  ...
[07:40.000 --> 07:42.000]  ...
[07:42.000 --> 07:44.000]  ...
[07:44.000 --> 07:46.000]  ...
[07:46.000 --> 07:48.000]  Katarzyna jadła obiad
[07:48.000 --> 07:50.000]  z rodziną o 2.
[07:50.000 --> 07:52.000]  Z rodziną. Z rodziną?
[07:52.000 --> 07:54.000]  O 2. Okej.
[07:54.000 --> 07:56.000]  Z rodziną.
[07:56.000 --> 07:58.000]  ...
[07:58.000 --> 08:00.000]  To będzie
[08:00.000 --> 08:02.000]  rodzaj żeński.
[08:02.000 --> 08:04.000]  A tam napisane
[08:04.000 --> 08:06.000]  rodzice.
[08:06.000 --> 08:08.000]  Jakbyśmy chcieli
[08:08.000 --> 08:10.000]  zmienić. Nie rodziną.
[08:10.000 --> 08:12.000]  Nie
[08:12.000 --> 08:14.000]  rodzina, tylko rodzice.
[08:14.000 --> 08:16.000]  Rodzice is a different word
[08:16.000 --> 08:18.000]  than rodzina. Tak.
[08:18.000 --> 08:20.000]  Co to są rodzice? Kto?
[08:20.000 --> 08:22.000]  Co to są rodzice?
[08:22.000 --> 08:24.000]  ...
[08:24.000 --> 08:26.000]  ...
[08:26.000 --> 08:28.000]  ...
[08:28.000 --> 08:30.000]  ...
[08:30.000 --> 08:32.000]  ...
[08:32.000 --> 08:34.000]  ...
[08:34.000 --> 08:36.000]  ...
[08:36.000 --> 08:38.000]  ...
[08:38.000 --> 08:40.000]  ...
[08:40.000 --> 08:42.000]  ...
[08:42.000 --> 08:44.000]  ...
[08:44.000 --> 08:46.000]  ...
[08:46.000 --> 08:48.000]  ...
[08:48.000 --> 09:16.000]  ...
[09:16.000 --> 09:18.000]  ... ...
[09:18.000 --> 09:25.000]  Myślę, że czasami nie chcę powiedzieć, że coś jest za skomplikowane, ale...
[09:25.000 --> 09:33.000]  Jesteś bardzo przerażony, ale chcesz użyć przerażonych słów, ale nie masz żadnej gramatyki.
[09:33.000 --> 09:35.000]  Dlatego masz pewne błędności.
[09:35.000 --> 09:43.000]  Na przykład w kinie w klubie, bo to jest miejscownik, którego nie znam w tym książce.
[09:43.000 --> 09:45.000]  Może mniej.
[09:45.000 --> 09:48.000]  Ale w całym...
[09:48.000 --> 09:50.000]  Ja to tylko...
[09:50.000 --> 09:52.000]  Czapka dwóch, więc...
[09:52.000 --> 09:54.000]  Dobra.
[09:54.000 --> 09:56.000]  Kto nam powie, co robi Robert?
[09:56.000 --> 09:59.000]  Co robi Robert?
[09:59.000 --> 10:01.000]  Co robi Robert?
[10:01.000 --> 10:03.000]  Co robił Robert?
[10:03.000 --> 10:05.000]  Robił.
[10:15.000 --> 10:17.000]  Poniedziałek, tak?
[10:17.000 --> 10:19.000]  Wy poniedziałek.
[10:19.000 --> 10:21.000]  Poniedziałek.
[10:21.000 --> 10:25.000]  Robert powtórzył dla testu...
[10:29.000 --> 10:32.000]  Dla testu jutro.
[10:35.000 --> 10:37.000]  Dobra, jeszcze raz. Jaki czasownik?
[10:37.000 --> 10:39.000]  Co on robił?
[10:41.000 --> 10:44.000]  Robert powtórzył.
[10:45.000 --> 10:47.000]  Dobra.
[10:47.000 --> 10:48.000]  Ok.
[10:51.000 --> 10:53.000]  Powtórzył.
[10:53.000 --> 10:56.000]  No, jakby on powtórzył dla testu.
[10:56.000 --> 10:57.000]  Tak.
[10:57.000 --> 10:58.000]  To nie nauczycie.
[10:58.000 --> 10:59.000]  Powtórzył?
[10:59.000 --> 11:00.000]  Mhm.
[11:02.000 --> 11:03.000]  Czy to lepszy słówko dla ciebie?
[11:03.000 --> 11:05.000]  To lepszy słówko.
[11:05.000 --> 11:07.000]  Lepszy słówko, gdy powtarzam.
[11:07.000 --> 11:08.000]  A.
[11:08.000 --> 11:09.000]  Bo to jest też...
[11:09.000 --> 11:11.000]  Nie wiem, ten książek jest...
[11:11.000 --> 11:13.000]  Nie wiem, ten jest też...
[11:13.000 --> 11:14.000]  To jest też aspekt.
[11:14.000 --> 11:15.000]  Więc...
[11:15.000 --> 11:17.000]  Powtórzył, to znaczy raz.
[11:17.000 --> 11:18.000]  Tak.
[11:18.000 --> 11:20.000]  On raz powtarzał.
[11:20.000 --> 11:22.000]  Ale powtarzał to było...
[11:24.000 --> 11:25.000]  To było trochę czasu.
[11:25.000 --> 11:26.000]  A.
[11:26.000 --> 11:28.000]  To nie było jedno, to było...
[11:28.000 --> 11:29.000]  Ok.
[11:29.000 --> 11:30.000]  Ok, powtarzał.
[11:30.000 --> 11:33.000]  Powtarzał dla testu jutro.
[11:33.000 --> 11:34.000]  Ok.
[11:34.000 --> 11:35.000]  Do.
[11:35.000 --> 11:36.000]  Do testu.
[11:36.000 --> 11:37.000]  Do testu.
[11:37.000 --> 11:38.000]  Do testu.
[11:38.000 --> 11:39.000]  Dobra.
[11:39.000 --> 11:41.000]  W dytele Robert robi...
[11:41.000 --> 11:42.000]  Dobra.
[11:42.000 --> 11:43.000]  Dobra.
[11:43.000 --> 11:44.000]  Dobra.
[11:44.000 --> 11:48.000]  W dytele Robert bia test z francuskiego.
[11:48.000 --> 11:50.000]  Super.
[11:50.000 --> 11:53.000]  W środę Robert...
[11:53.000 --> 11:54.000]  W środę.
[11:54.000 --> 11:55.000]  W środę.
[11:55.000 --> 11:56.000]  W środę, przepraszam.
[11:56.000 --> 11:59.000]  Robert pisał e-mail do Marka.
[11:59.000 --> 12:00.000]  OK.
[12:00.000 --> 12:07.000]  W czwartek Robert kupił berety na pancet.
[12:07.000 --> 12:08.000]  Mhm.
[12:08.000 --> 12:11.000]  W piątek Robert podjęł kaszę na Just Blink.
[12:11.000 --> 12:15.000]  Robert spotykał kaszę na jazz klub.
[12:17.000 --> 12:19.000]  Spotkał.
[12:20.000 --> 12:24.000]  Albo, you can say also simple, był.
[12:28.000 --> 12:35.000]  W sobotę Robert szedł na basen o 21.
[12:35.000 --> 12:39.000]  Nie mówią im jak tam się stało.
[12:39.000 --> 12:41.000]  To jest szedł na basen.
[12:42.000 --> 12:45.000]  Dlaczego nie szedł na basen?
[12:49.000 --> 12:51.000]  On się wyciekł, nie?
[12:51.000 --> 12:53.000]  Tak, dokładnie.
[12:53.000 --> 12:59.000]  Zakończył się sytuacja, zakończył się wersja i wciąż się wycieka.
[13:02.000 --> 13:05.000]  W niedzie Robert siedzi na basenie.
[13:05.000 --> 13:07.000]  I to jest uroczy miłapcie.
[13:10.000 --> 13:12.000]  Dobra, dobre słowo.
[13:13.000 --> 13:16.000]  Ale jeszcze raz proszę je przeczytać.
[13:18.000 --> 13:20.000]  Celebrował.
[13:20.000 --> 13:22.000]  Celebrował.
[13:24.000 --> 13:25.000]  Celebrował.
[13:25.000 --> 13:28.000]  Ok, I'm going to work with the sound like this.
[13:28.000 --> 13:30.000]  Celebrował. Dobra, super.
[13:30.000 --> 13:32.000]  Daliśmy radę?
[13:32.000 --> 13:34.000]  Sorry, quick question.
[13:34.000 --> 13:42.000]  So when we are talking about completed and like he was going and he went to the suwipol, right?
[13:42.000 --> 13:45.000]  So we are using po over here.
[13:45.000 --> 13:54.000]  But I think when I was going through my notes, so we said that is po always used to say that the work has completed?
[13:54.000 --> 13:55.000]  No, right?
[13:55.000 --> 13:59.000]  Because for jehać I think it was do jehać means it's completed, right?
[13:59.000 --> 14:02.000]  Se jehać.
[14:02.000 --> 14:05.000]  Ok, for jehać it was se jehać, right?
[14:05.000 --> 14:13.000]  So these words can also change, like po can become, so it's not like if I want to say...
[14:15.000 --> 14:17.000]  So there is no...
[14:17.000 --> 14:19.000]  So this...
[14:19.000 --> 14:21.000]  Here we have the verb.
[14:21.000 --> 14:27.000]  But this beginning, let's say, we call it se jehać.
[14:27.000 --> 14:31.000]  Because it's like przed, before, something.
[14:31.000 --> 14:34.000]  And it's everything here.
[14:34.000 --> 14:46.000]  Z, do, po, przed, wy, wy, ze, z.
[14:46.000 --> 14:48.000]  And anything else.
[14:48.000 --> 14:50.000]  Not everything, but many many options.
[14:50.000 --> 14:51.000]  But ok.
[14:51.000 --> 14:56.000]  So some verbs are with one, only with one.
[14:56.000 --> 14:58.000]  Some verbs many choices.
[14:58.000 --> 15:00.000]  But basically every...
[15:00.000 --> 15:05.000]  Every beginning means something slightly different.
[15:05.000 --> 15:07.000]  Depending on the verb or...
[15:07.000 --> 15:09.000]  Yes, depending on this przedrostek.
[15:09.000 --> 15:24.000]  Like we had do jehać i po jehać i przy jehać.
[15:24.000 --> 15:29.000]  So I would say do jehać and przy jehać are the same.
[15:29.000 --> 15:32.000]  By same, but you mean that it completed.
[15:32.000 --> 15:33.000]  No.
[15:33.000 --> 15:37.000]  No, do jehać was in the process of starting.
[15:37.000 --> 15:43.000]  But like, whatever, my point was that there is no uniform rule that I can apply.
[15:43.000 --> 15:49.000]  Like I cannot say, I cannot look at a verb and add po to signify that the action was completed.
[15:49.000 --> 15:50.000]  No, right? There is no...
[15:50.000 --> 15:52.000]  It's a verb by verb basis.
[15:52.000 --> 15:53.000]  Yes.
[15:53.000 --> 15:55.000]  In many cases, no, no, no.
[15:55.000 --> 15:57.000]  Just... I don't know.
[15:57.000 --> 15:58.000]  It is into...
[15:58.000 --> 16:01.000]  Really? There is no rule like this seems very...
[16:01.000 --> 16:04.000]  So there is no other way of learning this.
[16:04.000 --> 16:06.000]  Okay, you see, one you have will...
[16:06.000 --> 16:07.000]  Like if I...
[16:07.000 --> 16:08.000]  No, just like...
[16:08.000 --> 16:10.000]  Sorry, so I am just trying to...
[16:10.000 --> 16:12.000]  Let's concentrate on past tense, right?
[16:12.000 --> 16:17.000]  So if I am just concentrating on past tense, there are two things that I want to say.
[16:17.000 --> 16:21.000]  I want to say I was doing and I want to say I did it.
[16:21.000 --> 16:23.000]  Okay? Let's just concentrate on...
[16:23.000 --> 16:28.000]  So if I am... Is there a simple rule like I was eating, I ate.
[16:28.000 --> 16:29.000]  Oh.
[16:29.000 --> 16:31.000]  Jeszcze zmykł mi się ten wiatr.
[16:31.000 --> 16:32.000]  A i czytać?
[16:32.000 --> 16:34.000]  Sure, sure, sure, sure, sure.
[16:39.000 --> 16:40.000]  Okay.
[16:40.000 --> 16:43.000]  Sometimes you have this.
[16:43.000 --> 16:51.000]  Like, as you said, czytać and przeczytać.
[16:51.000 --> 16:53.000]  So the only difference is...
[16:53.000 --> 16:54.000]  Not here, this.
[16:54.000 --> 16:56.000]  So this is like...
[16:56.000 --> 16:58.000]  Okay, we're good.
[16:58.000 --> 17:03.000]  You can put it also in past.
[17:03.000 --> 17:04.000]  Okay?
[17:04.000 --> 17:10.000]  So because of this beginning, you know that this actually descended.
[17:10.000 --> 17:15.000]  Like I read, like from the first page to the last page.
[17:15.000 --> 17:18.000]  And here you know it's like still continuing.
[17:18.000 --> 17:20.000]  So you're like, you're still reading something.
[17:20.000 --> 17:27.000]  But there are also the other group of words, other group of verbs, when it doesn't matter if it's like the beginning or not.
[17:27.000 --> 17:32.000]  Because you know when the situation is ended or a single process.
[17:32.000 --> 17:38.000]  Because of the...
[17:38.000 --> 17:39.000]  Okay.
[17:39.000 --> 17:45.000]  Like we had spot cow.
[17:45.000 --> 17:48.000]  And...
[17:48.000 --> 17:49.000]  Spoty cow.
[17:49.000 --> 17:50.000]  For example.
[17:50.000 --> 17:52.000]  So what is the difference?
[17:52.000 --> 17:54.000]  This one here.
[17:54.000 --> 17:55.000]  Okay?
[17:55.000 --> 17:57.000]  So this means once.
[17:57.000 --> 18:00.000]  Like that's the ended, completed situation.
[18:00.000 --> 18:02.000]  He spot cow once.
[18:02.000 --> 18:03.000]  He met someone.
[18:03.000 --> 18:06.000]  And spoty cow...
[18:06.000 --> 18:11.000]  Like seeing someone, meeting someone many times or like a single process.
[18:11.000 --> 18:16.000]  Like you, when you, for example...
[18:16.000 --> 18:19.000]  You can say, I saw someone on the street.
[18:19.000 --> 18:21.000]  I understand what you're saying.
[18:21.000 --> 18:25.000]  But again you are going into like verb specific things, right?
[18:25.000 --> 18:26.000]  Like spoty cow.
[18:26.000 --> 18:28.000]  But I cannot use this rule for like chytach.
[18:28.000 --> 18:29.000]  I would not say...
[18:29.000 --> 18:32.000]  Like I cannot add a Y somewhere in between.
[18:32.000 --> 18:33.000]  You understand what I'm trying to ask?
[18:33.000 --> 18:34.000]  Yes.
[18:34.000 --> 18:36.000]  But I want to say that you have two groups.
[18:36.000 --> 18:37.000]  Oh, these are two...
[18:37.000 --> 18:38.000]  Okay, okay, okay.
[18:38.000 --> 18:39.000]  Yes.
[18:39.000 --> 18:40.000]  Yeah, sorry, continue.
[18:40.000 --> 18:41.000]  You have one group and other group.
[18:41.000 --> 18:45.000]  And in the first group this beginning part matters.
[18:45.000 --> 18:46.000]  Okay, got it.
[18:46.000 --> 18:51.000]  So you don't have like one list of verbs and you have other one.
[18:51.000 --> 18:52.000]  That's...
[18:52.000 --> 18:53.000]  Like you don't have one universal beginning that you can use.
[18:53.000 --> 18:54.000]  Okay.
[18:54.000 --> 18:58.000]  I have one universal beginning that you put to every verb in the universe.
[18:58.000 --> 19:01.000]  And that means that something is competent or not.
[19:01.000 --> 19:04.000]  Because you have also the other group of verbs.
[19:04.000 --> 19:06.000]  And it doesn't matter.
[19:06.000 --> 19:10.000]  Like you cannot put the beginning here because you need to see here.
[19:10.000 --> 19:12.000]  Can you give one more example for each word?
[19:12.000 --> 19:13.000]  Sure.
[19:13.000 --> 19:17.000]  Hmm...
[19:17.000 --> 19:21.000]  Okay.
[19:21.000 --> 19:23.000]  I saw...
[19:23.000 --> 19:24.000]  No.
[19:24.000 --> 19:27.000]  So that can also change.
[19:27.000 --> 19:28.000]  Aha.
[19:28.000 --> 19:29.000]  So on pisał test wczoraj.
[19:29.000 --> 19:30.000]  It took him like an hour to like wrote this test.
[19:30.000 --> 19:31.000]  But on napisał książkę.
[19:31.000 --> 19:32.000]  And it doesn't matter how long.
[19:32.000 --> 19:33.000]  Like he wrote the book and it's a complete sentence.
[19:33.000 --> 19:34.000]  The book is already published and everything.
[19:34.000 --> 19:35.000]  Okay?
[19:35.000 --> 19:36.000]  Hmm...
[19:36.000 --> 19:37.000]  The third one.
[19:37.000 --> 19:38.000]  Hmm...
[19:38.000 --> 19:39.000]  I don't know if I have it.
[19:39.000 --> 19:40.000]  Hmm...
[19:40.000 --> 19:41.000]  I don't know if I have it.
[19:41.000 --> 19:42.000]  Hmm...
[19:42.000 --> 19:43.000]  Hmm...
[19:43.000 --> 19:44.000]  I don't know if I have it.
[19:44.000 --> 19:45.000]  Hmm...
[19:45.000 --> 19:46.000]  Hmm...
[19:46.000 --> 19:47.000]  Hmm...
[19:47.000 --> 19:48.000]  I don't know.
[19:48.000 --> 19:49.000]  Hmm...
[19:49.000 --> 19:50.000]  Hmm...
[19:50.000 --> 19:51.000]  Hmm...
[19:51.000 --> 19:52.000]  Hmm...
[19:52.000 --> 19:53.000]  Hmm...
[19:53.000 --> 19:54.000]  Hmm...
[19:54.000 --> 19:55.000]  Hmm...
[19:55.000 --> 19:56.000]  Hmm...
[19:56.000 --> 19:57.040]  Hmm...
[19:57.040 --> 19:58.040]  Hmm...
[19:58.040 --> 19:59.080]  Hmm...
[19:59.080 --> 20:00.080]  Hmm...
[20:00.080 --> 20:01.080]  Hmm...
[20:01.080 --> 20:02.080]  Hmm...
[20:02.080 --> 20:03.080]  Hmm...
[20:03.080 --> 20:04.080]  Hmm...
[20:04.080 --> 20:05.080]  Hmm...
[20:05.080 --> 20:06.080]  Hmm...
[20:06.080 --> 20:07.080]  Hmm...
[20:07.080 --> 20:08.080]  Hmm...
[20:08.080 --> 20:09.080]  Hmm...
[20:09.080 --> 20:10.080]  Hmm...
[20:10.080 --> 20:11.080]  Hmm...
[20:11.080 --> 20:12.080]  Hmm...
[20:12.080 --> 20:13.080]  Hmm...
[20:13.080 --> 20:14.080]  Hmm...
[20:14.080 --> 20:15.080]  Hmm...
[20:15.080 --> 20:16.080]  Hmm...
[20:16.080 --> 20:17.080]  Hmm...
[20:17.080 --> 20:18.080]  Hmm...
[20:18.080 --> 20:19.080]  Hmm...
[20:19.080 --> 20:20.080]  Hmm...
[20:20.080 --> 20:21.080]  Hmm...
[20:21.080 --> 20:22.000]  Pisz tapes?
[20:22.000 --> 20:23.000]  No my GoPro.
[20:23.000 --> 20:35.880]  Po to, by twój Brittem został Pałac w paymentsundacza na cały dzień i muttał zapatch前
[20:35.880 --> 20:36.360] ertos
[20:53.000 --> 21:00.000]  że wersje będą się wytłumaczyć w dwie sposoby.
[21:00.000 --> 21:05.000]  Jedną jest zaprzestanie pewnego słowa,
[21:05.000 --> 21:08.000]  a druga jest dodanie wskazówki.
[21:08.000 --> 21:12.000]  Nie, nie, nie. To nie jest o tym, co ja nie dodam wskazówki.
[21:12.000 --> 21:17.000]  To jest zmiana w środku słowa, ale nie o tym, co się dzieje.
[21:17.000 --> 21:21.000]  To nie o tym, co się dzieje. To o wielu innych rzeczach.
